Dataset,LengthBin,AccuracyDelta,RuntimeSpeedup,Comparison,SeriesLength
ACSF1,Long,-0.04700000000000004,1.025625653368048,approx_vs_exact,1460
AconityMINIPrinterLarge,Medium-short,-0.0012950450450450735,1.003792333244851,approx_vs_exact,300
AconityMINIPrinterSmall,Medium-short,0.00171232876712335,1.089566851380994,approx_vs_exact,300
Adiac,Medium-short,-0.006564364876385342,1.1107489162831439,approx_vs_exact,176
AllGestureWiimoteX,Medium-long,-0.010904761904761862,1.0521304178856892,approx_vs_exact,500
AllGestureWiimoteY,Medium-long,0.006523809523809487,1.041767684172138,approx_vs_exact,500
AllGestureWiimoteZ,Medium-long,0.0006190476190475191,1.0460067403554132,approx_vs_exact,500
ArrowHead,Medium-short,-0.005142857142857227,1.1521563882096255,approx_vs_exact,251
AsphaltObstaclesUni,Long,0.00673486786018751,1.082046222124935,approx_vs_exact,736
AsphaltPavementTypeUni,Long,-0.0003472222222222765,1.1443340528462864,approx_vs_exact,2371
AsphaltRegularityUni,Long,0.0007545494895694338,1.173545655848921,approx_vs_exact,4201
BME,Short,0.0,0.9999387530528588,approx_vs_exact,128
Beef,Medium-long,-0.01666666666666672,0.9086867682533766,approx_vs_exact,470
BeetleFly,Medium-long,-0.023333333333333317,0.8280258377342833,approx_vs_exact,512
BirdChicken,Medium-long,0.01333333333333342,0.8241688288969098,approx_vs_exact,512
CBF,Short,0.003851851851851884,1.8427210264284408,approx_vs_exact,128
Car,Medium-long,-0.03833333333333322,0.9716327955783639,approx_vs_exact,577
Chinatown,Short,-0.00019436345966949986,1.0757959987944858,approx_vs_exact,24
ChlorineConcentration,Medium-short,0.012656250000000036,1.0517013539708422,approx_vs_exact,166
CinCECGTorso,Long,0.002318840579710213,1.9701719563662126,approx_vs_exact,1639
Coffee,Medium-short,-0.00952380952380949,0.8261512101006736,approx_vs_exact,286
Colposcopy,Medium-short,-0.0036303630363035966,1.042259888423654,approx_vs_exact,180
Computers,Medium-long,-0.0006666666666665932,0.9409356941301726,approx_vs_exact,720
Covid3Month_disc,Short,0.007650273224043769,0.9440354623880004,approx_vs_exact,84
CricketX,Medium-short,-0.007264957264957128,1.0214816042985064,approx_vs_exact,300
CricketY,Medium-short,0.003247863247863192,1.0081134628637325,approx_vs_exact,300
CricketZ,Medium-short,-0.005811965811965858,1.0212700782084112,approx_vs_exact,300
Crop,Short,0.00071825396825409,0.9173383306009251,approx_vs_exact,46
DiatomSizeReduction,Medium-long,0.015250544662309351,0.9211536875036027,approx_vs_exact,345
DistalPhalanxOutlineAgeGroup,Short,-0.0014388489208632116,1.1040329521473506,approx_vs_exact,80
