Estimator,LengthBin,MeanAccuracy,MedianRuntime,N,NDatasets
moment_quant_approx,Short,0.8818214364850601,0.414745687496179,1050,35
moment_quant_approx,Medium-short,0.8662817142395509,0.5924588330017286,1080,36
moment_quant_approx,Medium-long,0.8278694854567057,0.623383541504154,1140,38
moment_quant_approx,Long,0.8262486476203834,5.114708437500667,990,33
moment_quant_exact,Short,0.8826252561159571,0.4698356045046239,1050,35
moment_quant_exact,Medium-short,0.8682700070674103,0.6701681039994583,1080,36
moment_quant_exact,Medium-long,0.8373166914473003,0.647921812509594,1140,38
moment_quant_exact,Long,0.8320139039360093,5.3435084789998655,990,33
quant,Short,0.8825270127905183,0.4199637710044044,1050,35
quant,Medium-short,0.8682787958673773,0.8064447914985067,1080,36
quant,Medium-long,0.8373225394005166,0.6450726875045802,1140,38
quant,Long,0.8320055411343467,5.834014729000046,990,33
