LengthBin,MeanAccuracyDelta,MeanRuntimeSpeedup,NDatasets,Comparison
Short,-0.0008038196308969831,1.2059485140442672,35,approx_vs_exact
Medium-short,-0.0019882928278594347,1.0637224334776993,36,approx_vs_exact
Medium-long,-0.009447205990594612,0.9968280943986265,38,approx_vs_exact
Long,-0.005765256315625859,1.1618284649823174,33,approx_vs_exact
Short,-0.0007055763054581745,1.045813986289754,35,approx_vs_quant
Medium-short,-0.001997081627826346,1.146610761017328,36,approx_vs_quant
Medium-long,-0.009453053943810985,1.106367324439389,38,approx_vs_quant
Long,-0.005756893513963223,1.333900001295678,33,approx_vs_quant
Short,9.824332543880867e-05,0.8943311445518964,35,exact_vs_quant
Medium-short,-8.788799966910929e-06,1.0820233287339283,36,exact_vs_quant
Medium-long,-5.847953216374599e-06,1.1126394674736328,38,exact_vs_quant
Long,8.36280166263608e-06,1.1356619079910348,33,exact_vs_quant
