Dataset,Estimator,Accuracy,LengthBin,SeriesLength,TransformRuntime
ACSF1,moment_quant_approx,0.7616666666666667,Long,1460,0.1372196249976695
ACSF1,moment_quant_exact,0.8086666666666668,Long,1460,0.1848886240004502
ACSF1,quant,0.8086666666666668,Long,1460,0.3244212490026256
AconityMINIPrinterLarge,moment_quant_approx,0.942652027027027,Medium-short,300,0.4002020830012043
AconityMINIPrinterLarge,moment_quant_exact,0.9439470720720721,Medium-short,300,0.5136867919973156
AconityMINIPrinterLarge,quant,0.9439470720720721,Medium-short,300,0.911237999003788
AconityMINIPrinterSmall,moment_quant_approx,0.9771689497716896,Medium-short,300,0.1290689170018594
AconityMINIPrinterSmall,moment_quant_exact,0.9754566210045662,Medium-short,300,0.1935623760000452
AconityMINIPrinterSmall,quant,0.9754566210045662,Medium-short,300,0.2486817079989123
Adiac,moment_quant_approx,0.8124467178175618,Medium-short,176,0.06662020799922161
Adiac,moment_quant_exact,0.8190110826939472,Medium-short,176,0.17359712499455782
Adiac,quant,0.8190110826939472,Medium-short,176,0.1141244999998889
AllGestureWiimoteX,moment_quant_approx,0.6705238095238095,Medium-long,500,0.18920045800041402
AllGestureWiimoteX,moment_quant_exact,0.6814285714285714,Medium-long,500,0.2451460839984065
AllGestureWiimoteX,quant,0.6814285714285714,Medium-long,500,0.45539870799984783
AllGestureWiimoteY,moment_quant_approx,0.7044761904761905,Medium-long,500,0.1964612500014481
AllGestureWiimoteY,moment_quant_exact,0.697952380952381,Medium-long,500,0.2454378330003236
AllGestureWiimoteY,quant,0.697952380952381,Medium-long,500,0.46672454199870117
AllGestureWiimoteZ,moment_quant_approx,0.6635238095238095,Medium-long,500,0.1929472920019179
AllGestureWiimoteZ,moment_quant_exact,0.662904761904762,Medium-long,500,0.24171033300081018
AllGestureWiimoteZ,quant,0.662904761904762,Medium-long,500,0.4609868330007884
ArrowHead,moment_quant_approx,0.84,Medium-short,251,0.045519124996644594
ArrowHead,moment_quant_exact,0.8451428571428572,Medium-short,251,0.0626111659985326
ArrowHead,quant,0.8451428571428572,Medium-short,251,0.0766049590019974
AsphaltObstaclesUni,moment_quant_approx,0.8499573742540495,Long,736,0.2183547499989799
