Series length,Number of samples,Estimator,Runtime_multi,Runtime_per_sample
16,1,moment_quant_approx_intervals,0.0045019579993095,0.0045019579993095
16,2,moment_quant_approx_intervals,0.0045539589991676,0.0022769794995838
16,3,moment_quant_approx_intervals,0.0046140409976942,0.0015380136658980665
16,4,moment_quant_approx_intervals,0.0045573339994007,0.001139333499850175
16,8,moment_quant_approx_intervals,0.0046130000009725,0.0005766250001215625
16,10,moment_quant_approx_intervals,0.0045922499994048,0.00045922499994047997
16,16,moment_quant_approx_intervals,0.0046542919990315,0.0002908932499394688
16,30,moment_quant_approx_intervals,0.0047524590008833,0.00015841530002944334
16,32,moment_quant_approx_intervals,0.0047659580013714,0.00014893618754285626
16,64,moment_quant_approx_intervals,0.0050684590023593,7.919467191186407e-05
16,100,moment_quant_approx_intervals,0.0052997909988334,5.2997909988334e-05
16,300,moment_quant_approx_intervals,0.0069811250032216,2.3270416677405333e-05
16,1000,moment_quant_approx_intervals,0.0130437080006231,1.30437080006231e-05
16,3000,moment_quant_approx_intervals,0.0307088749977992,1.0236291665933067e-05
16,10000,moment_quant_approx_intervals,0.104131584001152,1.04131584001152e-05
32,1,moment_quant_approx_intervals,0.0099142090002715,0.0099142090002715
32,2,moment_quant_approx_intervals,0.0101742910010216,0.0050871455005108
32,3,moment_quant_approx_intervals,0.0102312079980038,0.0034104026660012666
32,4,moment_quant_approx_intervals,0.0102428339996549,0.002560708499913725
32,8,moment_quant_approx_intervals,0.0103360419998352,0.0012920052499794
32,10,moment_quant_approx_intervals,0.0103293339998344,0.00103293339998344
32,16,moment_quant_approx_intervals,0.0104032499984896,0.0006502031249056
32,30,moment_quant_approx_intervals,0.0106575840000004,0.00035525280000001336
32,32,moment_quant_approx_intervals,0.0107096660030947,0.00033467706259670936
32,64,moment_quant_approx_intervals,0.0112333750003017,0.00017552148437971406
32,100,moment_quant_approx_intervals,0.0120379169966327,0.00012037916996632699
32,300,moment_quant_approx_intervals,0.0164304589998209,5.4768196666069675e-05
32,1000,moment_quant_approx_intervals,0.0305535410006996,3.05535410006996e-05
32,3000,moment_quant_approx_intervals,0.0729578749997017,2.4319291666567233e-05
32,10000,moment_quant_approx_intervals,0.2443987920014478,2.443987920014478e-05
64,1,moment_quant_approx_intervals,0.0205602919995726,0.0205602919995726
64,2,moment_quant_approx_intervals,0.020971207999537,0.0104856039997685
64,3,moment_quant_approx_intervals,0.0210513750025711,0.007017125000857033
64,4,moment_quant_approx_intervals,0.0210864170003333,0.005271604250083325
64,8,moment_quant_approx_intervals,0.0212038749996281,0.0026504843749535125
64,10,moment_quant_approx_intervals,0.021317041999282,0.0021317041999281998
64,16,moment_quant_approx_intervals,0.0215145839974866,0.0013446614998429125
64,30,moment_quant_approx_intervals,0.0220403749990509,0.00073467916663503
64,32,moment_quant_approx_intervals,0.0221222079999279,0.0006913189999977468
64,64,moment_quant_approx_intervals,0.0232095419996767,0.0003626490937449484
64,100,moment_quant_approx_intervals,0.0247645410017867,0.000247645410017867
64,300,moment_quant_approx_intervals,0.0339285000009113,0.00011309500000303766
64,1000,moment_quant_approx_intervals,0.0654101660002197,6.54101660002197e-05
64,3000,moment_quant_approx_intervals,0.154474625000148,5.1491541666715996e-05
64,10000,moment_quant_approx_intervals,0.5458338749995164,5.4583387499951644e-05
128,1,moment_quant_approx_intervals,0.021788000001834,0.021788000001834
128,2,moment_quant_approx_intervals,0.0221693339990451,0.01108466699952255
128,3,moment_quant_approx_intervals,0.0223957909984164,0.0074652636661388
128,4,moment_quant_approx_intervals,0.0223898339972947,0.005597458499323675
128,8,moment_quant_approx_intervals,0.022637209000095,0.002829651125011875
128,10,moment_quant_approx_intervals,0.0228005410026526,0.00228005410026526
128,16,moment_quant_approx_intervals,0.0230619169997225,0.0014413698124826563
128,30,moment_quant_approx_intervals,0.0236842499980411,0.0007894749999347033
128,32,moment_quant_approx_intervals,0.0238735420025477,0.0007460481875796156
128,64,moment_quant_approx_intervals,0.025476750000962,0.00039807421876503126
128,100,moment_quant_approx_intervals,0.0288736250004149,0.000288736250004149
128,300,moment_quant_approx_intervals,0.0405700410010467,0.000135233470003489
128,1000,moment_quant_approx_intervals,0.0827299169977777,8.272991699777769e-05
128,3000,moment_quant_approx_intervals,0.2038737500006391,6.795791666687969e-05
128,10000,moment_quant_approx_intervals,0.8637572080006066,8.637572080006067e-05
192,1,moment_quant_approx_intervals,0.0173858750022191,0.0173858750022191
192,2,moment_quant_approx_intervals,0.0178009159972134,0.0089004579986067
192,3,moment_quant_approx_intervals,0.0179689159995177,0.0059896386665059
192,4,moment_quant_approx_intervals,0.0180275839993555,0.004506895999838875
192,8,moment_quant_approx_intervals,0.0183006669976748,0.00228758337470935
192,10,moment_quant_approx_intervals,0.0183711669997137,0.00183711669997137
192,16,moment_quant_approx_intervals,0.018788500001392,0.001174281250087
192,30,moment_quant_approx_intervals,0.0195592920026683,0.0006519764000889433
192,32,moment_quant_approx_intervals,0.0197565000016766,0.0006173906250523937
192,64,moment_quant_approx_intervals,0.0214042500010691,0.0003344414062667047
192,100,moment_quant_approx_intervals,0.0237760830023034,0.000237760830023034
192,300,moment_quant_approx_intervals,0.0383436669981165,0.000127812223327055
192,1000,moment_quant_approx_intervals,0.0884487920011452,8.84487920011452e-05
192,3000,moment_quant_approx_intervals,0.2450700409972341,8.16900136657447e-05
192,10000,moment_quant_approx_intervals,1.1962113749978016,0.00011962113749978016
256,1,moment_quant_approx_intervals,0.0175591659972269,0.0175591659972269
256,2,moment_quant_approx_intervals,0.0181184590001066,0.0090592295000533
256,3,moment_quant_approx_intervals,0.0182475000001431,0.0060825000000477
256,4,moment_quant_approx_intervals,0.0183587920000718,0.00458969800001795
256,8,moment_quant_approx_intervals,0.0186630829994101,0.0023328853749262626
256,10,moment_quant_approx_intervals,0.0187733749990002,0.00187733749990002
256,16,moment_quant_approx_intervals,0.0191727919991535,0.0011982994999470938
256,30,moment_quant_approx_intervals,0.0201147090010636,0.0006704903000354533
256,32,moment_quant_approx_intervals,0.0202787920025002,0.0006337122500781312
256,64,moment_quant_approx_intervals,0.0232634999993024,0.0003634921874891
256,100,moment_quant_approx_intervals,0.0249857079979847,0.000249857079979847
256,300,moment_quant_approx_intervals,0.0423462919970916,0.000141154306656972
256,1000,moment_quant_approx_intervals,0.1044660829975328,0.0001044660829975328
256,3000,moment_quant_approx_intervals,0.2726924999988114,9.08974999996038e-05
