Dataset,SeriesLength,LengthBin,Estimator,Stage,MeanTime,PctOfTotal
ACSF1,1460,Long,moment_quant_approx,Classification (inference),0.006565859566762757,0.4496682233546991
ACSF1,1460,Long,moment_quant_approx,Classification (training),1.3211215554675921,90.47808236562821
ACSF1,1460,Long,moment_quant_approx,Transformation (inference),0.06516519176633054,4.462891066764253
ACSF1,1460,Long,moment_quant_approx,Transformation (training),0.06730384316567016,4.609358344252833
ACSF1,1460,Long,moment_quant_exact,Classification (inference),0.0066085457013589635,0.44143375793924605
ACSF1,1460,Long,moment_quant_exact,Classification (training),1.30799882643405,87.37093808917331
ACSF1,1460,Long,moment_quant_exact,Transformation (inference),0.08872882366583018,5.9268558981564965
ACSF1,1460,Long,moment_quant_exact,Transformation (training),0.09372776509965959,6.260772254730944
ACSF1,1460,Long,quant,Classification (inference),0.0066971555997345335,0.41224980840163306
ACSF1,1460,Long,quant,Classification (training),1.3081535971000753,80.52464389296699
ACSF1,1460,Long,quant,Transformation (inference),0.15402858749997295,9.481376793418837
ACSF1,1460,Long,quant,Transformation (training),0.15565885563361612,9.58172950521253
AconityMINIPrinterLarge,300,Medium-short,moment_quant_approx,Classification (inference),0.022801965300459373,0.3348676407174488
AconityMINIPrinterLarge,300,Medium-short,moment_quant_approx,Classification (training),6.360947011066795,93.41630382543087
AconityMINIPrinterLarge,300,Medium-short,moment_quant_approx,Transformation (inference),0.1352858263654828,1.9867956511891969
AconityMINIPrinterLarge,300,Medium-short,moment_quant_approx,Transformation (training),0.2902123528319256,4.262032882662481
AconityMINIPrinterLarge,300,Medium-short,moment_quant_exact,Classification (inference),0.02326395143318218,0.3407765161111928
AconityMINIPrinterLarge,300,Medium-short,moment_quant_exact,Classification (training),6.26663556953475,91.79533594102003
AconityMINIPrinterLarge,300,Medium-short,moment_quant_exact,Transformation (inference),0.17172822773281948,2.5155205182069493
AconityMINIPrinterLarge,300,Medium-short,moment_quant_exact,Transformation (training),0.36511949863343035,5.348367024661827
AconityMINIPrinterLarge,300,Medium-short,quant,Classification (inference),0.023287880433781497,0.32095494249498885
AconityMINIPrinterLarge,300,Medium-short,quant,Classification (training),6.2666893389337925,86.36788230387077
AconityMINIPrinterLarge,300,Medium-short,quant,Transformation (inference),0.3065027319661264,4.224238740510019
AconityMINIPrinterLarge,300,Medium-short,quant,Transformation (training),0.6593299304988857,9.086924013124223
AconityMINIPrinterSmall,300,Medium-short,moment_quant_approx,Classification (inference),0.00763067363344205,0.6406396276648059
AconityMINIPrinterSmall,300,Medium-short,moment_quant_approx,Classification (training),1.0562609292668639,88.67927537573993
AconityMINIPrinterSmall,300,Medium-short,moment_quant_approx,Transformation (inference),0.04781548466562521,4.014389261591396
AconityMINIPrinterSmall,300,Medium-short,moment_quant_approx,Transformation (training),0.07939525826562502,6.665695735003864
AconityMINIPrinterSmall,300,Medium-short,moment_quant_exact,Classification (inference),0.00771689443499776,0.594752602725838
AconityMINIPrinterSmall,300,Medium-short,moment_quant_exact,Classification (training),1.0928637334679177,84.22864344974148
AconityMINIPrinterSmall,300,Medium-short,moment_quant_exact,Transformation (inference),0.10773622479852439,8.303392076504018
AconityMINIPrinterSmall,300,Medium-short,moment_quant_exact,Transformation (training),0.08917968613338109,6.873211871028676
AconityMINIPrinterSmall,300,Medium-short,quant,Classification (inference),0.007950295833870713,0.5890380522826222
AconityMINIPrinterSmall,300,Medium-short,quant,Classification (training),1.0937755181352258,81.03791535554906
AconityMINIPrinterSmall,300,Medium-short,quant,Transformation (inference),0.09036249719938491,6.694964622946024
AconityMINIPrinterSmall,300,Medium-short,quant,Transformation (training),0.1576200485991042,11.67808196922228
Adiac,176,Medium-short,moment_quant_approx,Classification (inference),0.012303481932273477,0.9808185601022545
Adiac,176,Medium-short,moment_quant_approx,Classification (training),1.1734294945007908,93.54436683153735
Adiac,176,Medium-short,moment_quant_approx,Transformation (inference),0.03368665273374057,2.6854588327799314
Adiac,176,Medium-short,moment_quant_approx,Transformation (training),0.03498994593246603,2.789355775580477
Adiac,176,Medium-short,moment_quant_exact,Classification (inference),0.01253959016709506,0.898234338246026
Adiac,176,Medium-short,moment_quant_exact,Classification (training),1.2008576638336914,86.0196844257157
Adiac,176,Medium-short,moment_quant_exact,Transformation (inference),0.09001872226581323,6.448209737855988
Adiac,176,Medium-short,moment_quant_exact,Transformation (training),0.0926106098001279,6.63387149818229
Adiac,176,Medium-short,quant,Classification (inference),0.012398369365352317,0.9315741640014235
Adiac,176,Medium-short,quant,Classification (training),1.2027283374663966,90.36919392215911
Adiac,176,Medium-short,quant,Transformation (inference),0.05870856950083782,4.411175771654253
Adiac,176,Medium-short,quant,Transformation (training),0.05706996390047905,4.288056142185228
AllGestureWiimoteX,500,Medium-long,moment_quant_approx,Classification (inference),0.017042737534211434,0.8400028781943988
AllGestureWiimoteX,500,Medium-long,moment_quant_approx,Classification (training),1.8099131959005414,89.20704732949014
AllGestureWiimoteX,500,Medium-long,moment_quant_approx,Transformation (inference),0.13259459033191276,6.535325518463865
AllGestureWiimoteX,500,Medium-long,moment_quant_approx,Transformation (training),0.06933984990027961,3.4176242738515827
AllGestureWiimoteX,500,Medium-long,moment_quant_exact,Classification (inference),0.017572084666850618,0.8260281043414005
AllGestureWiimoteX,500,Medium-long,moment_quant_exact,Classification (training),1.8504055403366995,86.98381607679187
AllGestureWiimoteX,500,Medium-long,moment_quant_exact,Transformation (inference),0.17663215696520632,8.303119894416703
AllGestureWiimoteX,500,Medium-long,moment_quant_exact,Transformation (training),0.08268886253208615,3.8870359244500237
AllGestureWiimoteX,500,Medium-long,quant,Classification (inference),0.018142774934434124,0.7708588662953572
AllGestureWiimoteX,500,Medium-long,quant,Classification (training),1.852870355467894,78.72563854040915
AllGestureWiimoteX,500,Medium-long,quant,Transformation (inference),0.3306955597329458,14.050750515612792
AllGestureWiimoteX,500,Medium-long,quant,Transformation (training),0.15187063906487308,6.452752077682702
AllGestureWiimoteY,500,Medium-long,moment_quant_approx,Classification (inference),0.01727022343353984,0.8159640415035978
AllGestureWiimoteY,500,Medium-long,moment_quant_approx,Classification (training),1.8947028957336443,89.51878579920098
AllGestureWiimoteY,500,Medium-long,moment_quant_approx,Transformation (inference),0.13575552796683038,6.414024096592999
AllGestureWiimoteY,500,Medium-long,moment_quant_approx,Transformation (training),0.06881357226520772,3.2512260627024188
AllGestureWiimoteY,500,Medium-long,moment_quant_exact,Classification (inference),0.01833422366519997,0.8284966383142619
AllGestureWiimoteY,500,Medium-long,moment_quant_exact,Classification (training),1.9323613013363987,87.32056897530585
AllGestureWiimoteY,500,Medium-long,moment_quant_exact,Transformation (inference),0.18117637633307213,8.187094336523284
AllGestureWiimoteY,500,Medium-long,moment_quant_exact,Transformation (training),0.08107898069962777,3.6638400498566117
AllGestureWiimoteY,500,Medium-long,quant,Classification (inference),0.0185562332674938,0.7602822123338907
AllGestureWiimoteY,500,Medium-long,quant,Classification (training),1.9360202736017527,79.32222857511007
AllGestureWiimoteY,500,Medium-long,quant,Transformation (inference),0.33259920010023053,13.62718672628748
AllGestureWiimoteY,500,Medium-long,quant,Transformation (training),0.15352762219699795,6.290302486268546
AllGestureWiimoteZ,500,Medium-long,moment_quant_approx,Classification (inference),0.01754666246561096,0.8365920308433767
AllGestureWiimoteZ,500,Medium-long,moment_quant_approx,Classification (training),1.873079567933261,89.3049286574944
AllGestureWiimoteZ,500,Medium-long,moment_quant_approx,Transformation (inference),0.13564632779889502,6.467363071018798
AllGestureWiimoteZ,500,Medium-long,moment_quant_approx,Transformation (training),0.07112519586905058,3.391116240643439
AllGestureWiimoteZ,500,Medium-long,moment_quant_exact,Classification (inference),0.018876226433106498,0.8612719559853469
AllGestureWiimoteZ,500,Medium-long,moment_quant_exact,Classification (training),1.90621114296567,86.97533934768114
AllGestureWiimoteZ,500,Medium-long,moment_quant_exact,Transformation (inference),0.1825152486004905,8.3276848641525
AllGestureWiimoteZ,500,Medium-long,moment_quant_exact,Transformation (training),0.08406591386543973,3.8357038321810046
AllGestureWiimoteZ,500,Medium-long,quant,Classification (inference),0.018968673632965227,0.7835475098593145
AllGestureWiimoteZ,500,Medium-long,quant,Classification (training),1.9076646458682565,78.80075918007459
AllGestureWiimoteZ,500,Medium-long,quant,Transformation (inference),0.3386505722999572,13.98879108642154
AllGestureWiimoteZ,500,Medium-long,quant,Transformation (training),0.15558700553228844,6.426902223644552
ArrowHead,251,Medium-short,moment_quant_approx,Classification (inference),0.005849636166385567,3.4340569924674553
ArrowHead,251,Medium-short,moment_quant_approx,Classification (training),0.1192555665329564,70.00955281569445
ArrowHead,251,Medium-short,moment_quant_approx,Transformation (inference),0.026804684766830136,15.735818867397182
ArrowHead,251,Medium-short,moment_quant_approx,Transformation (training),0.018431961233970118,10.820571324440914
ArrowHead,251,Medium-short,moment_quant_exact,Classification (inference),0.006043052767442184,3.089019682971021
ArrowHead,251,Medium-short,moment_quant_exact,Classification (training),0.12247775423408404,62.60679959531606
ArrowHead,251,Medium-short,moment_quant_exact,Transformation (inference),0.05249584433283109,26.834234725197508
ArrowHead,251,Medium-short,moment_quant_exact,Transformation (training),0.014613463965846027,7.469945996515414
ArrowHead,251,Medium-short,quant,Classification (inference),0.006024058301409197,2.944861180889391
ArrowHead,251,Medium-short,quant,Classification (training),0.1216325150999182,59.46006066506708
ArrowHead,251,Medium-short,quant,Transformation (inference),0.04837712093261261,23.649157818462037
ArrowHead,251,Medium-short,quant,Transformation (training),0.028528012700068415,13.945920335581492
AsphaltObstaclesUni,736,Long,moment_quant_approx,Classification (inference),0.010706482033128796,0.46399876395173073
AsphaltObstaclesUni,736,Long,moment_quant_approx,Classification (training),2.067847448665998,89.61661330518022
