Mode,L,n_heuristic,n_theorem,ratio_heuristic_over_theorem,absolute_difference,Prediction_error
exact,16,23169.777665474798,19.958343426880475,1160.9068533347847,23149.81932204792,
approx,16,39963.94570820407,1056.6722880773596,37.8205676056097,38907.27342012671,
exact,32,6950.933299642439,35.08695311971646,198.10592489823492,6915.846346522722,
approx,32,19981.972854102034,599.8162008468835,33.31349307652809,19382.15665325515,
exact,64,2482.4761784437283,44.76596348704672,55.45454593336401,2437.7102149566817,
approx,64,9990.986427051017,609.738293323121,16.38569618548864,9381.248133727897,
exact,128,965.4074027281165,70.04781709602902,13.782119739786223,895.3595856320875,
approx,128,4995.4932135255085,378.9426272486661,13.182716470288822,4616.550586276842,
exact,192,569.5660897742321,35.30628523692009,16.132144346316895,534.259804537312,
approx,192,3330.328809017006,271.19600516761994,12.28015437380284,3059.1328038493857,
exact,256,394.9393920251386,51.18757215776748,7.7155328017488,343.7518198673711,
approx,256,2497.7466067627543,215.61031135758728,11.58454153252564,2282.136295405167,
exact,384,237.98192740227282,31.422415383590764,7.573635715049149,206.55951201868206,
approx,384,1665.164404508503,157.3954043875996,10.57949824511962,1507.7690001209032,
exact,512,167.08974277986633,26.21537499971583,6.373730788961727,140.8743677801505,
approx,512,1248.8733033813771,126.525458974178,9.870529721897741,1122.347844407199,
exact,768,102.19610223376453,17.29719516873378,5.908247044497312,84.89890706503076,
approx,768,832.5822022542515,93.55936469067107,8.898972379803572,739.0228375635804,
exact,1024,72.40555520460875,12.792683209505016,5.6599193475541645,59.61287199510373,
approx,1024,624.4366516906886,75.80063991291395,8.23788100480541,548.6360117777746,
exact,1536,44.77791653217338,8.311069092353744,5.387744468803593,36.46684743981963,
approx,1536,416.2911011271257,56.60788145124159,7.353942427357793,359.6832196758841,
exact,2048,31.943627296150915,6.102810276702966,5.234248788315342,25.840817019447947,
approx,2048,312.2183258453443,46.16335671351788,6.763336725769734,266.0549691318264,
exact,4096,14.290570106172778,2.8854891801055116,4.952564093707752,11.405080926067267,
approx,4096,156.10916292267214,28.546674701055398,5.468558581952827,127.56248822161675,
exact,8192,6.464781714697208,1.3611667736551019,4.7494413174202865,5.103614941042107,
approx,8192,78.05458146133607,17.944628495575483,4.349746303222806,60.109952965760584,
