Estimator,L,N_i,intercept,slope,r2_stage1,kappa_hat_naive
moment_quant_exact_intervals,9,37,0.0005089585108800558,1.403316566095883e-06,0.7198593257031249,1.3755635429190698e-05
moment_quant_exact_intervals,14,71,0.0009207199443667708,2.5605532900191907e-06,0.8993847348928171,1.2967886540377054e-05
moment_quant_exact_intervals,15,77,0.0010028682042799886,2.257863846639089e-06,0.9971625038408581,1.3024262393246605e-05
moment_quant_exact_intervals,16,84,0.0010856140340270983,2.741134220418134e-06,0.9640873293248144,1.2923976595560694e-05
moment_quant_exact_intervals,17,89,0.001163027828052578,2.534966775990607e-06,0.9984657877664345,1.3067728405085145e-05
moment_quant_exact_intervals,20,101,0.0013726690873008054,3.636306550496977e-06,0.9970665015013084,1.3590783042582232e-05
moment_quant_exact_intervals,24,126,0.0016593565125839708,5.053383597292546e-06,0.9783857090474641,1.3169496131618816e-05
moment_quant_exact_intervals,28,165,0.002074216446606818,6.945879106872828e-06,0.9170169818624706,1.2571008767314049e-05
moment_quant_exact_intervals,30,179,0.002235785395834117,6.813466026975952e-06,0.9709713258501015,1.2490421205777189e-05
moment_quant_exact_intervals,31,185,0.0022892775572935244,7.235829339159886e-06,0.9630293827279606,1.23744732826677e-05
moment_quant_exact_intervals,32,192,0.0023857880818803686,7.623173022298822e-06,0.9707055658965202,1.242597959312692e-05
moment_quant_exact_intervals,33,197,0.0024581417691869802,7.845520043226684e-06,0.9792479531496256,1.2477877000949138e-05
moment_quant_exact_intervals,40,223,0.0030096146012892895,1.1221839099062936e-05,0.9956651488956435,1.3496029602194123e-05
moment_quant_exact_intervals,48,274,0.003538205576234538,1.427348173020287e-05,0.9851336411687109,1.2913159037352328e-05
moment_quant_exact_intervals,56,357,0.004429640269064167,1.8035018642825577e-05,0.9847340854867338,1.2407955935753969e-05
moment_quant_exact_intervals,62,399,0.004915607870216949,1.788697753946237e-05,0.999720416833262,1.2319819223601376e-05
moment_quant_exact_intervals,63,405,0.004946835469151084,2.0631816971263477e-05,0.9640120362413974,1.2214408565805147e-05
moment_quant_exact_intervals,64,412,0.005031250200228173,1.9796122492495478e-05,0.9905394493606927,1.2211772330650904e-05
moment_quant_exact_intervals,65,416,0.005075944692590326,2.054267255407506e-05,0.9880288567734634,1.2201790126419052e-05
moment_quant_exact_intervals,80,426,0.005708685334262918,2.6544010449645217e-05,0.9910332670997399,1.3400669798739246e-05
moment_quant_exact_intervals,88,430,0.005753203879856049,3.167008577330584e-05,0.9989919372320617,1.3379543906641975e-05
