Mode,SlopeEstimator,ConstantsEstimator,L,slope,intercept,r2_stage1,predicted_processing_cost,residual,kappa_S_hat_naive,assumption
exact,moment_quant_exact_samples,moment_quant_exact_samples,9,1.2110314822235519e-05,6.135246715850718e-05,0.9999305524760669,1.2962779121730733e-05,-8.524642994952145e-07,-2.1311607487380363e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,14,2.32047403506177e-05,5.935931146473296e-05,0.9998849854098442,2.422937650123778e-05,-1.0246361506200819e-06,-2.5615903765502046e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,15,2.557595516790882e-05,5.560070135880499e-05,0.9996652380910361,2.543194654367102e-05,1.4400862423779917e-07,3.600215605944979e-08,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,16,2.6981856025849206e-05,6.332954037889096e-05,0.9998021710672576,2.6964296215514216e-05,1.7559810334989836e-08,4.389952583747459e-09,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,17,2.9540250660866123e-05,5.846625780180462e-05,0.9983977460188017,2.9130355175229695e-05,4.098954856364272e-07,1.024738714091068e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,20,3.517659766380455e-05,6.222047735467036e-05,0.9999750284439366,4.356723165100778e-05,-8.39063398720323e-06,-2.0976584968008074e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,24,4.1740124426944026e-05,6.374210611137561e-05,0.9999585799275018,4.74670063605618e-05,-5.726881933617776e-06,-1.431720483404444e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,28,5.423106173728104e-05,5.8625989350346705e-05,0.9999955902891184,5.909628577946088e-05,-4.865224042179836e-06,-1.216306010544959e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,30,5.8723647318975366e-05,5.964253777890886e-05,0.9997403149348714,5.932235579076295e-05,-5.987084717875871e-07,-1.4967711794689678e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,31,6.122513546723424e-05,5.460615451807346e-05,0.9997715562944858,5.953476290404628e-05,1.6903725631879613e-06,4.2259314079699033e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,32,6.38748156731209e-05,6.0036665987779904e-05,0.9998217825413571,6.068984308680531e-05,3.1849725863155904e-06,7.962431465788976e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,33,6.502404277799788e-05,6.343144578449623e-05,0.9993389405504806,6.280802677133092e-05,2.21601600666696e-06,5.5400400166674e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,40,7.91521381052282e-05,6.458330480096404e-05,0.9999885409514317,0.0001026320959205168,-2.34799578152886e-05,-5.86998945382215e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,48,9.628887735870004e-05,6.269691973899557e-05,0.9999422970543864,0.0001045072613036894,-8.218383944989363e-06,-2.0545959862473406e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,56,0.00012240035971389785,5.921772608511304e-05,0.9999914755781238,0.00013245591818952362,-1.0055558475625769e-05,-2.513889618906442e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,62,0.00013649184727797999,4.970596824698635e-05,0.9998932472654309,0.0001330146669607023,3.4771803172776777e-06,8.692950793194194e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,63,0.0001381246830271609,5.7264720870166395e-05,0.9999596677675726,0.0001322565350239985,5.868148003162398e-06,1.4670370007905994e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,64,0.00014052161051805292,4.883473528775935e-05,0.9998900905228748,0.00013305749132901692,7.464119189035996e-06,1.866029797258999e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,65,0.00014291226231166526,4.85019247274716e-05,0.999836896248907,0.00013473325355216445,8.179008759500806e-06,2.0447521898752014e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,80,0.0001623431010438858,5.333073090370927e-05,0.9999512918724185,0.00020909998150215648,-4.6756880458270674e-05,-1.1689220114567669e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,88,0.00016797910684092173,4.8217078502122435e-05,0.9998751460387544,0.00019992247672776875,-3.1943369886847025e-05,-7.985842471711756e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,96,0.00017335368001231851,5.26007756230592e-05,0.9999857419595778,0.00017640992332845253,-3.0562433161340113e-06,-7.640608290335028e-07,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,126,0.00020550097611099624,6.169453109265146e-05,0.999995245635471,0.00014261735903753694,6.28836170734593e-05,1.5720904268364823e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,127,0.00020836765836296234,5.961478811451756e-05,0.9999865237491267,0.00013843960830073148,6.992805006223086e-05,1.7482012515557716e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,128,0.0002057582136712964,6.604061445328353e-05,0.9999917310147824,0.00013602926986135664,6.972894380993976e-05,1.743223595248494e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,129,0.00020961648645301682,6.746257957140488e-05,0.9999536878380981,0.0001362191399411595,7.339734651185732e-05,1.834933662796433e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,192,0.00026416497047028644,6.292839217995155e-05,0.9996730409965378,0.0002729474776377251,-8.782507167438673e-06,-2.1956267918596682e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,254,0.0003229934633906632,5.5827501343903186e-05,0.9999615944169419,0.0002517146574218432,7.127880596881998e-05,1.7819701492204995e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,255,0.0003216298668599553,4.5080077757789054e-05,0.999749607298016,0.00024764153900255683,7.39883278573985e-05,1.8497081964349624e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,256,0.0003208733849316085,6.829092818676551e-05,0.9991703207683884,0.0002461332125672452,7.47401723643633e-05,1.8685043091090823e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,257,0.0003253816631245289,6.827102879333456e-05,0.999998702484289,0.00024641565419153324,7.896600893299565e-05,1.9741502233248912e-05,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,384,0.00044916458806801973,5.860507265354946e-05,0.9993192175642456,0.00041472033058752257,3.444425748049717e-05,8.611064370124292e-06,True
exact,moment_quant_exact_samples,moment_quant_exact_samples,510,0.000589645236280337,4.5064845890144037e-05,0.9996623389167252,0.0005489908985550837,4.065433772525325e-05,1.0163584431313312e-05,True
