Estimator,L,N_i,intercept,slope,r2_stage1,kappa_hat_naive
quant_float64,9,37,0.0015054571535426948,3.900219615899436e-06,-2.6483769394229935,4.068803117682959e-05
quant_float64,14,71,0.002687281884207148,8.637424376039081e-06,-3.1805696157645524,3.784904062263589e-05
quant_float64,15,77,0.0029514889936794156,9.665603537867027e-06,-2.9509034011498243,3.8331025891940464e-05
quant_float64,16,84,0.0032140410032943673,1.2066518428021318e-05,-4.67065126611618,3.8262392896361516e-05
quant_float64,17,89,0.0034647548648008247,1.3144628124442162e-05,-4.508546128155765,3.89298299415823e-05
quant_float64,20,101,0.00406757630169815,1.3538530634097141e-05,-1.448645659799881,4.027303269008069e-05
quant_float64,24,126,0.004670991953805325,1.8076177595446566e-05,-1.646497988927119,3.707136471274067e-05
quant_float64,28,165,0.006247271982784831,2.8457714521180753e-05,-3.5382703299326055,3.786225444112019e-05
quant_float64,30,179,0.006675541594392872,2.4756085489344534e-05,-1.176761804283446,3.729352846029537e-05
quant_float64,31,185,0.006858562737511306,2.291723947909719e-05,-0.3678491302646749,3.7073312094655704e-05
quant_float64,32,192,0.007470590108273774,2.3275228548041867e-05,-0.1520160767690517,3.890932348059257e-05
quant_float64,33,197,0.007569665190074561,2.8332278705880547e-05,-1.06009467805122,3.842469639631757e-05
quant_float64,40,223,0.009207754805963538,1.974540127970114e-05,0.9741238568545268,4.1290380295800614e-05
quant_float64,48,274,0.009986142189601206,4.8006517700417e-05,-0.8990174404956635,3.644577441460294e-05
quant_float64,56,357,0.013225552110456349,5.7626972018464416e-05,-0.3148327475164949,3.70463644550598e-05
quant_float64,62,399,0.014563066102476449,6.120045200325077e-05,0.01309724217412156,3.649891253753496e-05
quant_float64,63,405,0.014657203349067794,6.285644841137288e-05,-0.09951577897944919,3.6190625553253814e-05
quant_float64,64,412,0.014858421176598052,6.205201054401959e-05,0.059972680453346805,3.606412906941275e-05
quant_float64,65,416,0.015046451026535299,7.312547515443517e-05,-0.7263653629050448,3.616935342917139e-05
quant_float64,80,426,0.016198312253276673,7.327844006232466e-05,0.5188561433618617,3.802420716731613e-05
quant_float64,88,430,0.01623082148453859,8.320761762073414e-05,0.5123691624763582,3.7746096475671135e-05
quant_float64,96,450,0.01709144096039516,8.277678152249282e-05,0.762140563980287,3.7980979911989245e-05
quant_float64,126,480,0.018418423132564532,7.689544090370692e-05,0.9956596606928397,3.837171485950944e-05
quant_float64,127,480,0.017845425512581035,0.00010613929464970151,0.909915657407409,3.7177969817877156e-05
quant_float64,128,480,0.018437912339644025,7.684954194233107e-05,0.9947440267698672,3.841231737425839e-05
quant_float64,129,480,0.017975190758702266,0.00012078986533382446,0.7518049465471005,3.744831408062972e-05
quant_float64,192,480,0.01959642777025884,0.00017240905465812245,0.9447005596974876,4.082589118803925e-05
quant_float64,254,480,0.019765088669452757,0.00021894558630976627,0.9918850968364026,4.117726806135991e-05
quant_float64,255,480,0.01975817749009898,0.0002188182663915121,0.9901299482090504,4.1162869771039544e-05
quant_float64,256,480,0.019800547862352434,0.00021567970460743013,0.9935666103768891,4.1251141379900905e-05
quant_float64,257,480,0.019731532697891,0.00022770570212275049,0.9839537863908862,4.110735978727292e-05
quant_float64,384,480,0.02027219019160897,0.00036376196689836757,0.9961103771497251,4.223372956585202e-05
quant_float64,510,480,0.020482292465406643,0.0004838911401824243,0.9998439192146741,4.267144263626384e-05
quant_float64,511,480,0.020432194797245107,0.0004891411914930132,0.9998228744518354,4.256707249426064e-05
quant_float64,512,480,0.02125086914086805,0.0004674226972435387,0.9970103179303288,4.42726440434751e-05
quant_float64,513,480,0.020508902618401652,0.0004890177717948897,0.9996777209796364,4.2726880455003444e-05
quant_float64,768,480,0.020579663560449907,0.0008039627447362219,0.9989107431215244,4.287429908427064e-05
quant_float64,1022,480,0.02045750567002859,0.0011520974311170166,0.9995545069055697,4.261980347922623e-05
quant_float64,1023,480,0.020544848416070693,0.0011397970767177614,0.9986585739146159,4.280176753348061e-05
quant_float64,1024,480,0.020476579951797795,0.001157080405274789,0.999761491452346,4.265954156624541e-05
quant_float64,1025,480,0.020512733693041164,0.0011602878510196194,0.9997585864595055,4.273486186050243e-05
quant_float64,1536,480,0.020521041220946844,0.0018805093804128397,0.9994007572481886,4.275216921030592e-05
quant_float64,2046,480,0.020296696221048245,0.0026430205512636418,0.9996308851131669,4.228478379385051e-05
quant_float64,2047,480,0.020421691581471973,0.0026355223961073084,0.9994374214750541,4.254519079473328e-05
quant_float64,2048,480,0.02055223460140738,0.0026443650010621682,0.9997170996323536,4.281715541959871e-05
quant_float64,2049,480,0.020812598149257927,0.0027922815171561623,0.9998136842019816,4.335957947762068e-05
quant_float64,4094,480,0.020546923649722854,0.005941365699526555,0.999924822766525,4.2806090936922614e-05
quant_float64,4095,480,0.02023687195954653,0.00582908326795336,0.9992688001276142,4.2160149915721936e-05
quant_float64,4096,480,0.02086180580659428,0.005778402432965477,0.998801433116562,4.3462095430404754e-05
quant_float64,8192,480,0.020531123091422215,0.012867178808839993,0.9975999253499579,4.2773173107129615e-05
