l,Variant,Comparisons,Swaps
4,direct,6,0
4,indirect,6,0
4,keyvalue,6,0
8,direct,20,0
8,indirect,20,0
8,keyvalue,20,0
16,direct,60,0
16,indirect,60,0
16,keyvalue,60,0
32,direct,162,16
32,indirect,162,16
32,keyvalue,162,16
64,direct,381,47
64,indirect,381,47
64,keyvalue,381,47
128,direct,923,139
128,indirect,923,139
128,keyvalue,923,139
256,direct,2016,345
256,indirect,2016,345
256,keyvalue,2016,345
512,direct,5022,789
512,indirect,5022,789
512,keyvalue,5022,789
1024,direct,10680,1846
1024,indirect,10680,1846
1024,keyvalue,10680,1846
2048,direct,23845,4158
2048,indirect,23845,4158
2048,keyvalue,23845,4158
4096,direct,56038,9078
4096,indirect,56038,9078
4096,keyvalue,56038,9078
8192,direct,115730,20283
8192,indirect,115730,20283
8192,keyvalue,115730,20283
16384,direct,250783,44524
16384,indirect,250783,44524
16384,keyvalue,250783,44524
32768,direct,545911,96868
32768,indirect,545911,96868
32768,keyvalue,545911,96868
65536,direct,1180440,207766
65536,indirect,1180440,207766
65536,keyvalue,1180440,207766
262144,direct,5237206,964418
262144,indirect,5237206,964418
262144,keyvalue,5237206,964418
1048576,direct,23775447,4331161
1048576,indirect,23775447,4331161
1048576,keyvalue,23775447,4331161
4194304,direct,106856103,19213706
4194304,indirect,106856103,19213706
4194304,keyvalue,106856103,19213706
