l,Variant,Run,Runtime
1024,keyvalue,18,1.163658400037093e-05
32,keyvalue,37,8.003479500075628e-07
8,keyvalue,12,6.39753319992451e-07
1024,indirect,20,1.3041915997746401e-05
2048,indirect,31,4.800832999535487e-05
256,indirect,20,3.0514375002894665e-06
65536,keyvalue,9,0.004357666666389075
8,keyvalue,0,6.164808399989852e-07
128,indirect,11,1.7493750001449372e-06
4096,keyvalue,36,0.00014305999999123743
512,direct,30,4.578707999826292e-06
64,indirect,29,1.1012167000444605e-06
8,direct,24,3.7286583999957656e-07
1024,keyvalue,26,1.196983399859164e-05
8192,keyvalue,18,0.00039444416001060745
512,direct,31,4.3721250003727615e-06
64,keyvalue,7,1.0268500000165658e-06
2048,indirect,32,3.049250000003667e-05
32768,direct,11,0.0019041910001457534
32768,keyvalue,21,0.0020289861666545526
64,indirect,39,1.1043708000215702e-06
8192,indirect,0,0.0004862275000050431
64,direct,38,7.156790999943041e-07
4,indirect,0,6.208633400092367e-07
128,keyvalue,35,1.6330917998857331e-06
2048,indirect,20,3.236249999645224e-05
32768,direct,35,0.0018557083333992825
64,indirect,31,1.0823041000548984e-06
8,indirect,6,6.331016600233852e-07
8192,keyvalue,11,0.00042787750000570666
8192,keyvalue,23,0.00043550665999646297
128,indirect,15,1.8199000001914101e-06
262144,indirect,0,0.02320554149991949
8192,direct,34,0.00036488666002696844
4,keyvalue,15,6.218400000216207e-07
64,direct,36,7.712250000622589e-07
32768,direct,27,0.0018819339999633182
2048,keyvalue,0,7.026020500234154e-05
16384,keyvalue,26,0.0008753299999807496
512,keyvalue,25,5.360584000300151e-06
32768,keyvalue,18,0.0020013575834430717
32,indirect,9,7.964333000018086e-07
262144,keyvalue,3,0.019826833499791974
32,indirect,14,8.045645500715182e-07
32768,direct,36,0.0019077951666683173
16,keyvalue,26,7.113000000269191e-07
8192,indirect,9,0.0005063866599812172
32,indirect,23,8.029999999962456e-07
8,keyvalue,30,6.073341599767445e-07
128,direct,23,1.2424999997165287e-06
2048,direct,6,4.567020999274973e-05
8192,keyvalue,8,0.00038749333998566726
8,keyvalue,21,6.33410839982389e-07
16384,keyvalue,23,0.0009300200000143378
4194304,indirect,7,0.5102755420011817
32,indirect,16,8.305520500471175e-07
8192,keyvalue,5,0.0003918933200111496
512,direct,37,4.649250000511529e-06
512,indirect,0,5.9877919993596154e-06
64,indirect,35,1.0977333000482758e-06
8192,keyvalue,6,0.0003915575000064564
1024,indirect,17,1.4107499999227003e-05
32768,keyvalue,2,0.001976520833371372
4,indirect,4,6.599333199847024e-07
8,indirect,15,6.496024999796646e-07
32,direct,23,5.070708499260945e-07
512,keyvalue,37,5.328417000782793e-06
32,keyvalue,3,7.790646000103152e-07
32768,keyvalue,24,0.0020286249999420156
4096,keyvalue,23,0.00015988375000233645
128,direct,34,1.2350500001048203e-06
16,keyvalue,37,7.196083333231703e-07
4096,direct,12,0.00013553124999816647
16384,indirect,28,0.0011156333600229119
32768,direct,14,0.0019558854166158803
65536,direct,0,0.00414036800005609
4,direct,21,3.581266599940136e-07
8,keyvalue,5,6.293308200110914e-07
4194304,indirect,5,0.5034688329997152
2048,indirect,23,3.0443750001722948e-05
65536,indirect,4,0.005226034833261413
32,keyvalue,22,8.139208500324458e-07
512,indirect,4,6.0411670001485615e-06
8192,indirect,18,0.00048166499997023495
128,indirect,8,1.7945750001672423e-06
256,keyvalue,29,2.815833499880682e-06
16,keyvalue,3,7.50984733349469e-07
4,direct,16,3.687949999948614e-07
4,indirect,36,6.374925000272924e-07
32,direct,9,5.25400000060472e-07
8,direct,5,3.723675000219373e-07
256,keyvalue,16,2.8668545000982704e-06
16,keyvalue,12,7.347680667104821e-07
