Dtype,l,Method,Run,Runtime
float64,128,argsort,6,1.4643916001659818e-06
float64,16384,sort,7,0.0004394049999973504
float32,16,argsort,9,6.992097332840785e-07
float64,32768,sort,5,0.0008994132501053779
float32,4096,sort,0,4.306625000026543e-05
float64,64,argsort,3,9.460332999879029e-07
float64,16,sort,6,4.934972333406526e-07
float64,64,argsort,9,9.298708999267546e-07
float64,8192,argsort,4,0.0003913808200013591
float32,8192,argsort,8,0.0004249008400074672
float32,64,argsort,6,9.434958001293126e-07
float64,8192,argsort,9,0.00041215416000341067
float64,128,argsort,3,1.439300000129151e-06
float64,128,sort,2,2.081449999968754e-06
float64,128,sort,6,2.08260839972354e-06
float32,128,sort,8,9.427916000277037e-07
float64,8,sort,4,4.7648416002630254e-07
float64,1024,sort,7,1.958691600157181e-05
float64,32768,sort,1,0.0008946979166163752
float64,8192,sort,5,0.0001971824999782257
float32,16,argsort,1,6.770569666211183e-07
float32,64,argsort,9,9.334290998594952e-07
float64,4,sort,2,4.6476250001433074e-07
float32,32,sort,6,4.956895999384869e-07
float32,8192,sort,9,9.406334000232164e-05
float32,8,sort,9,4.778149999765446e-07
float64,1024,sort,4,1.9406918003369356e-05
float32,32768,argsort,9,0.0019978785000300072
float64,8192,argsort,8,0.0003843025000242051
float32,4,sort,0,4.7262500000215367e-07
float64,4096,argsort,3,0.00017141624999567284
float32,4096,argsort,4,0.0001751779200094461
float32,8192,argsort,4,0.0004108124999766005
float32,16,sort,1,4.74466666673834e-07
float64,32768,argsort,7,0.0021114964999166355
float32,8,argsort,6,6.69621660017583e-07
float64,256,argsort,5,2.3546874999738064e-06
float64,8,sort,2,4.719933399974252e-07
float64,32,argsort,7,7.541687499724503e-07
float64,4,sort,7,4.5777833998727145e-07
float64,64,sort,3,1.0337084000639151e-06
float32,8192,sort,4,9.45958399825031e-05
float32,256,sort,9,1.9127084997307975e-06
float32,128,sort,5,9.301665999373654e-07
float64,16384,sort,2,0.00041853499998978805
float64,16384,sort,1,0.00041632831998867915
float64,16384,sort,5,0.0004173666799761122
float32,16384,sort,4,0.00020711999997729435
float32,16384,argsort,6,0.0009094799999729731
float32,32768,sort,7,0.00044437500006703584
float32,8192,sort,6,9.504831999947783e-05
float64,32768,argsort,0,0.00204095141665069
float64,32768,sort,4,0.0008923055834202387
float32,1024,sort,9,8.993250001367415e-06
float64,16,argsort,2,6.861930666370123e-07
float64,16384,argsort,0,0.0008913966399995843
float32,8192,argsort,3,0.00042054667999764207
float64,512,argsort,7,4.480124998735846e-06
float32,4,sort,2,4.65547499989043e-07
float64,32768,argsort,1,0.001984239583331752
float32,64,argsort,1,9.185958000671235e-07
float64,4,sort,3,4.535650000252645e-07
float32,2048,argsort,4,6.30562500009546e-05
float64,32,argsort,2,7.702521000283013e-07
float32,16384,sort,6,0.0002097066400165204
float32,1024,argsort,8,9.521166000922676e-06
float32,4096,argsort,3,0.00017298791999564855
float32,16,sort,9,5.002721999820399e-07
float32,16384,sort,2,0.0002062100000330247
float64,4,argsort,9,6.282349999673897e-07
float32,256,argsort,8,2.3043124992909726e-06
float64,4096,argsort,7,0.0001838429199960956
float64,128,sort,4,2.0551583998894784e-06
float32,512,sort,7,4.09149999904912e-06
float64,8,argsort,2,6.433466599992243e-07
float32,512,argsort,7,4.389416000776691e-06
float32,16,argsort,7,6.610139000258642e-07
float32,256,argsort,1,2.312937499482359e-06
float32,256,argsort,6,2.3265419995368576e-06
float64,128,sort,3,2.073949999976321e-06
float64,64,argsort,1,9.328291998826899e-07
float64,32768,argsort,5,0.001951034750012089
float64,256,sort,2,4.251458499311411e-06
float32,8192,argsort,6,0.00041157165996992263
float64,64,argsort,6,9.108083999308292e-07
float32,32768,argsort,1,0.0020059062500574023
float32,64,argsort,0,9.288541001296835e-07
float32,64,sort,0,5.14116600061243e-07
float64,2048,argsort,8,6.036458000380662e-05
float64,64,sort,2,1.022279099925072e-06
float64,32,sort,6,6.487229499725799e-07
float64,64,sort,8,1.0228167000605027e-06
float32,32,sort,5,4.816249999748834e-07
float32,1024,sort,3,9.011000001919455e-06
float32,256,sort,5,1.8890420005845954e-06
float32,128,argsort,7,1.3944166003057035e-06
float64,4096,argsort,4,0.0001657058399905509
float64,16,argsort,5,6.778777999594847e-07
float32,16,argsort,0,6.858374999865191e-07
float32,4,sort,1,4.6039000000746454e-07
float32,16,sort,4,4.772083332985251e-07
float32,8192,argsort,1,0.000418888340027479
float64,4096,sort,5,9.034459000758943e-05
float64,16,sort,4,4.709389000102722e-07
float32,32,argsort,9,7.578353999633692e-07
float32,32768,sort,2,0.0004463575833142386
float32,256,sort,7,1.9120000006296323e-06
float32,256,sort,4,1.9275415006632102e-06
float64,32,sort,9,6.421124999178574e-07
float64,32768,sort,0,0.0008912534999581112
float64,32768,sort,9,0.0008927326666707813
float64,16384,argsort,5,0.0009058416399784619
float64,32,sort,3,6.750687499334163e-07
float32,64,sort,2,5.150499999217573e-07
float32,4,sort,7,4.5453165999788323e-07
float64,8192,sort,0,0.0001966175000052317
float64,1024,sort,9,1.938633199824835e-05
float64,128,argsort,9,1.3895250001951353e-06
float64,512,argsort,2,4.42254199879244e-06
float64,8,sort,3,4.65635000000475e-07
float32,2048,sort,1,2.034187500612461e-05
float64,1024,sort,6,2.0434081998246258e-05
float64,8192,sort,8,0.00020181665997370146
float64,4096,sort,9,9.100957999180537e-05
float64,256,sort,4,4.248000000188767e-06
float64,4,sort,4,4.5328918000450356e-07
float64,8,argsort,7,6.689941600052407e-07
float32,1024,argsort,6,1.1105581997981061e-05
float32,8,sort,3,4.6864500000083356e-07
float32,2048,argsort,8,3.8726040002075025e-05
float64,4,argsort,8,6.568799999877229e-07
float64,32,argsort,6,7.747562500298955e-07
float32,16,argsort,3,6.887986000341091e-07
float64,512,sort,7,9.212208000462851e-06
float64,32768,argsort,3,0.0019943645834246126
float32,4096,sort,1,4.3034589998569574e-05
float32,2048,argsort,1,5.523146000086854e-05
float64,64,argsort,8,9.235208000973216e-07
float32,256,sort,3,1.8902500005424372e-06
float64,4096,argsort,0,0.00016920207999646664
float64,32,argsort,3,7.429374999446736e-07
float64,2048,sort,2,4.190916500192543e-05
float64,4,argsort,1,6.359183400127222e-07
float32,2048,sort,6,1.959708500180568e-05
float64,4,sort,0,4.572583399931318e-07
float32,32,argsort,0,7.86100000004808e-07
float64,8,sort,5,4.7403500000655185e-07
float32,1024,argsort,4,1.3039834000664995e-05
float32,8192,argsort,0,0.00040728668001975164
float64,16384,argsort,9,0.000908659999986412
float32,4096,sort,2,4.304333000618499e-05
float32,128,argsort,8,1.4218915999663295e-06
float64,16,argsort,1,6.955416666338957e-07
float32,256,argsort,7,2.403041499746905e-06
float64,1024,sort,1,1.9593831999372924e-05
float64,256,sort,7,4.250687499734341e-06
float32,16384,argsort,1,0.0009130516800360056
float64,8192,sort,9,0.00019657750002807005
float64,8192,argsort,3,0.0003965791600057855
float64,4096,sort,8,9.142750001046807e-05
float32,1024,argsort,5,9.169584001938347e-06
float32,32768,sort,8,0.0004481285000110802
float32,1024,sort,1,8.884834001946729e-06
float64,4,sort,5,4.539116600062698e-07
float64,16,argsort,8,6.751958332946136e-07
float32,256,argsort,3,2.3240210002768435e-06
float32,16384,argsort,5,0.0008992016799311386
float64,1024,argsort,5,1.4584831998945446e-05
float32,16384,argsort,8,0.0009113533199706581
float32,2048,sort,8,1.96068750028644e-05
float64,8192,sort,1,0.0001982641599897761
float64,4096,argsort,2,0.00018012708000242128
float64,16,sort,3,4.944611000003836e-07
float64,1024,argsort,8,9.903916001348989e-06
float32,1024,sort,8,9.031916000822094e-06
