Dtype,l,Method,Run,Runtime
float64,128,argsort,6,3.4743918000458508e-06
float64,16384,sort,7,0.0009321349999663653
float32,16,argsort,9,2.615030566630594e-06
float64,32768,sort,5,0.0020119756665432456
float32,4096,sort,0,0.0001689233300021442
float64,64,argsort,3,3.0407541000386117e-06
float64,16,sort,6,2.80171946669725e-06
float64,64,argsort,9,2.940291699997033e-06
float64,8192,argsort,4,0.0003928124999947613
float32,8192,argsort,8,0.00037771249997604173
float32,64,argsort,6,2.9428292000375223e-06
float64,8192,argsort,9,0.000387844180004322
float64,128,argsort,3,3.3384583999577442e-06
float64,128,sort,2,3.506375000142725e-06
float64,128,sort,6,3.444191599919577e-06
float32,128,sort,8,3.527799999937997e-06
float64,8,sort,4,2.69890581999789e-06
float64,1024,sort,7,1.3772000002063579e-05
float64,32768,sort,1,0.001984465333255988
float64,8192,sort,5,0.00040769084000203293
float32,16,argsort,1,2.6243569666500357e-06
float32,64,argsort,9,2.9940791999251814e-06
float64,4,sort,2,2.66773084000306e-06
float32,32,sort,6,2.8211916500367805e-06
float32,8192,sort,9,0.000376479999977164
float32,8,sort,9,2.7150191599866955e-06
float64,1024,sort,4,1.3475416002620478e-05
float32,32768,argsort,9,0.0019202325832641993
float64,8192,argsort,8,0.0003897383399817045
float32,4,sort,0,2.6699666599961346e-06
float64,4096,argsort,3,0.0001669075000063458
float32,4096,argsort,4,0.00016686790999301593
float32,8192,argsort,4,0.00040790999999444465
float32,16,sort,1,2.72728333335787e-06
float64,32768,argsort,7,0.0019840764167990224
float32,8,argsort,6,2.5756633399942073e-06
float64,256,argsort,5,4.572791500322637e-06
float64,8,sort,2,2.698762500003795e-06
float64,32,argsort,7,2.7412791499955347e-06
float64,4,sort,7,2.6840900000024704e-06
float64,64,sort,3,3.1088249999811525e-06
float32,8192,sort,4,0.0003728133399999933
float32,256,sort,9,4.757624999911059e-06
float32,128,sort,5,3.459900000234484e-06
float64,16384,sort,2,0.00087741832001484
float64,16384,sort,1,0.0009107000000221888
float64,16384,sort,5,0.0009113349999825004
float32,16384,sort,4,0.0008927799999946728
float32,16384,argsort,6,0.0008867866799846524
float32,32768,sort,7,0.0018865868334311624
float32,8192,sort,6,0.000384580840000126
float64,32768,argsort,0,0.0019421979166812282
float64,32768,sort,4,0.001967510416610215
float32,1024,sort,9,1.369233399964287e-05
float64,16,argsort,2,2.6097944666616967e-06
float64,16384,argsort,0,0.0008999200000107522
float32,8192,argsort,3,0.00039916918001836165
float64,512,argsort,7,7.610540998939541e-06
float32,4,sort,2,2.7031041599911988e-06
float64,32768,argsort,1,0.0019930729166238357
float32,64,argsort,1,2.966141600154515e-06
float64,4,sort,3,2.638837499980582e-06
float32,2048,argsort,4,2.9169375002311425e-05
float64,32,argsort,2,2.7236250000896687e-06
float32,16384,sort,6,0.0008515733200329123
float32,1024,argsort,8,1.3299750000442145e-05
float32,4096,argsort,3,0.00016780500000095343
float32,16,sort,9,2.718233333386403e-06
float32,16384,sort,2,0.0008514200000354321
float64,4,argsort,9,2.5979274999917833e-06
float32,256,argsort,8,4.63099999979022e-06
float64,4096,argsort,7,0.00016859958001077757
float64,128,sort,4,3.5516334002750227e-06
float32,512,sort,7,7.579458000691375e-06
float64,8,argsort,2,2.6128266599698693e-06
float32,512,argsort,7,7.4442500008444765e-06
float32,16,argsort,7,2.6055069332869607e-06
float32,256,argsort,1,4.6187289999579665e-06
float32,256,argsort,6,4.6441670001513556e-06
float64,128,sort,3,3.5649000001285457e-06
float64,64,argsort,1,3.0667125000036323e-06
float64,32768,argsort,5,0.001953739583314018
float64,256,sort,2,4.745812500004831e-06
float32,8192,argsort,6,0.00037479749997146425
float64,64,argsort,6,2.974358300161839e-06
float32,32768,argsort,1,0.0018999166666920548
float32,64,argsort,0,3.0207791000066208e-06
float32,64,sort,0,3.0987000000095576e-06
float64,2048,argsort,8,7.96187500054657e-05
float64,64,sort,2,3.062750000026426e-06
float64,32,sort,6,2.8092750000723755e-06
float64,64,sort,8,3.2093834000988865e-06
float32,32,sort,5,2.8495896000094946e-06
float32,1024,sort,3,1.3602666000224418e-05
