Dataset,Resample,Classifier,Accuracy,BalancedAccuracy,LogLoss,ROCAUC,F1
ACSF1,0,extra_trees,0.85,0.85,0.5689418410438377,0.9839444444444445,0.8469393179919495
ACSF1,0,random_forest,0.78,0.78,0.694026272755519,0.9796666666666666,0.7756025820771412
ACSF1,0,ridge,0.66,0.66,12.254842152299831,0.811111111111111,0.6442588154408995
ACSF1,1,extra_trees,0.76,0.76,1.4374176323560999,0.9530000000000001,0.7553840697224732
ACSF1,1,random_forest,0.71,0.71,1.136832877543762,0.9632777777777778,0.7048190574475405
ACSF1,1,ridge,0.59,0.5900000000000001,14.777897889538036,0.7722222222222223,0.5761633433534962
ACSF1,2,extra_trees,0.78,0.78,0.7158564455176735,0.9641111111111111,0.772703818369453
ACSF1,2,random_forest,0.73,0.73,0.8402989802490635,0.9518333333333334,0.7248688030236018
ACSF1,2,ridge,0.68,0.6799999999999999,11.533969084517494,0.8222222222222223,0.6498585166696621
ACSF1,3,extra_trees,0.7,0.7,1.317644536853792,0.9395000000000002,0.6966436622958362
ACSF1,3,random_forest,0.71,0.71,1.291558651570739,0.94,0.7117738791423003
ACSF1,3,ridge,0.58,0.58,15.138334423429203,0.7666666666666667,0.5716007783066607
ACSF1,4,extra_trees,0.72,0.72,0.6919758313479343,0.9800555555555556,0.697128746327831
ACSF1,4,random_forest,0.7,0.7,0.8170046139402171,0.9711666666666666,0.6917875279922662
ACSF1,4,ridge,0.53,0.53,16.940517092885067,0.738888888888889,0.5111736964072406
ACSF1,5,extra_trees,0.7,0.7,2.1344221475800818,0.9383888888888889,0.6935969603152264
ACSF1,5,random_forest,0.67,0.67,1.587116000860618,0.9326666666666665,0.6656960655144798
ACSF1,5,ridge,0.58,0.58,15.138334423429205,0.7666666666666667,0.5541891067190523
ACSF1,6,extra_trees,0.69,0.6900000000000001,1.5742497741585908,0.9317777777777776,0.6804804559643705
ACSF1,6,random_forest,0.68,0.68,1.2960053530493267,0.9327222222222222,0.6637153292931325
ACSF1,6,ridge,0.53,0.53,16.940517092885063,0.7388888888888888,0.5141598668452887
ACSF1,7,extra_trees,0.77,0.77,0.6656962988442092,0.9785555555555555,0.7631600643863398
ACSF1,7,random_forest,0.72,0.72,0.7275320613372762,0.9768333333333333,0.7039659175720557
ACSF1,7,ridge,0.67,0.67,11.894405618408662,0.8166666666666665,0.6579519137198936
ACSF1,8,extra_trees,0.81,0.8099999999999999,0.9680875917145945,0.9756111111111112,0.8104327256178111
ACSF1,8,random_forest,0.72,0.7200000000000001,0.7909095586158156,0.9708333333333333,0.6971439963545226
ACSF1,8,ridge,0.61,0.61,14.05702482175569,0.7833333333333333,0.5746806646039382
ACSF1,9,extra_trees,0.76,0.76,1.128552190164094,0.9565,0.7657723229642734
ACSF1,9,random_forest,0.76,0.76,1.570447751664332,0.9393333333333334,0.7671741086271979
ACSF1,9,ridge,0.59,0.59,14.77789788953803,0.7722222222222221,0.5746678563898677
ACSF1,10,extra_trees,0.77,0.77,0.8243791637790525,0.9577222222222223,0.7668094478620795
ACSF1,10,random_forest,0.72,0.72,1.181276977091808,0.9580000000000001,0.7169579349282377
ACSF1,10,ridge,0.58,0.58,15.138334423429203,0.7666666666666667,0.5419696987808443
ACSF1,11,extra_trees,0.76,0.76,0.7564492963116328,0.9615,0.7544529142355227
ACSF1,11,random_forest,0.71,0.7100000000000001,0.8965072753528408,0.9442222222222222,0.6965433676417657
ACSF1,11,ridge,0.56,0.5599999999999999,15.859207491211547,0.7555555555555555,0.5378818503477946
ACSF1,12,extra_trees,0.82,0.82,0.633710577099354,0.9782777777777778,0.8183672192960119
ACSF1,12,random_forest,0.78,0.78,0.7426297137944395,0.9705000000000001,0.7793855851750588
ACSF1,12,ridge,0.62,0.62,13.69658828786452,0.788888888888889,0.5997980294260412
ACSF1,13,extra_trees,0.74,0.74,1.3720290404199156,0.9638333333333334,0.7273235361130098
ACSF1,13,random_forest,0.73,0.7300000000000001,1.1271963727085406,0.9619444444444446,0.7162180221925812
ACSF1,13,ridge,0.61,0.61,14.05702482175569,0.7833333333333334,0.5920556292692516
ACSF1,14,extra_trees,0.78,0.78,0.6433931948570297,0.976388888888889,0.7794178521557711
ACSF1,14,random_forest,0.75,0.7500000000000001,0.7537851459637055,0.9706111111111109,0.7457679359796064
ACSF1,14,ridge,0.64,0.6399999999999999,12.97571522008218,0.8,0.6212915245673866
ACSF1,15,extra_trees,0.75,0.75,1.0941389833352044,0.9581111111111111,0.7436309176607332
ACSF1,15,random_forest,0.72,0.72,0.8314886070693912,0.9605555555555556,0.7132254597976768
ACSF1,15,ridge,0.55,0.55,16.219644025102717,0.75,0.5208354006917882
ACSF1,16,extra_trees,0.64,0.64,0.9703902323278496,0.9532777777777777,0.6270319738740792
ACSF1,16,random_forest,0.66,0.66,0.9788102128256823,0.9467222222222224,0.6551476105593753
ACSF1,16,ridge,0.57,0.5700000000000001,15.498770957320376,0.7611111111111112,0.528747279641109
ACSF1,17,extra_trees,0.79,0.7899999999999999,0.6251276185223807,0.9788888888888888,0.7876228449912659
ACSF1,17,random_forest,0.76,0.76,0.7830068922907815,0.9683333333333336,0.7590797034436824
ACSF1,17,ridge,0.65,0.65,12.615278686191004,0.8055555555555556,0.6306094148314263
ACSF1,18,extra_trees,0.74,0.74,1.6748305921074844,0.9517777777777777,0.7257966916050104
ACSF1,18,random_forest,0.72,0.72,1.1572234406023063,0.9481666666666666,0.714643129563038
ACSF1,18,ridge,0.62,0.6199999999999999,13.69658828786452,0.7888888888888889,0.5937615894541891
ACSF1,19,extra_trees,0.75,0.7500000000000001,0.7971577946104721,0.958,0.7455535843961326
ACSF1,19,random_forest,0.76,0.76,0.8114917912918506,0.958111111111111,0.7592029306001576
ACSF1,19,ridge,0.63,0.6300000000000001,13.336151753973349,0.7944444444444444,0.6073803377150232
ACSF1,20,extra_trees,0.82,0.82,0.7016189384623012,0.9669444444444444,0.8156410848092098
ACSF1,20,random_forest,0.79,0.7899999999999999,0.7690736523907937,0.9661666666666667,0.7856227467063381
ACSF1,20,ridge,0.61,0.6100000000000001,14.05702482175569,0.7833333333333333,0.5842803122174939
ACSF1,21,extra_trees,0.77,0.77,0.6100491012142173,0.983,0.7687085137085137
ACSF1,21,random_forest,0.77,0.77,0.7183430915330452,0.9771666666666667,0.7731796456187355
ACSF1,21,ridge,0.61,0.6100000000000001,14.05702482175569,0.7833333333333334,0.5764222753510679
ACSF1,22,extra_trees,0.81,0.8100000000000002,0.6883617066531857,0.9721666666666667,0.8064804949092874
ACSF1,22,random_forest,0.81,0.8099999999999999,0.7687936515210442,0.9702222222222222,0.8075586694007747
ACSF1,22,ridge,0.65,0.65,12.615278686191004,0.8055555555555556,0.6530972295678178
ACSF1,23,extra_trees,0.74,0.74,0.694439486827126,0.9746111111111112,0.7244101061663991
ACSF1,23,random_forest,0.72,0.72,0.8163555082406079,0.9599444444444444,0.6957071278581577
ACSF1,23,ridge,0.66,0.6599999999999999,12.254842152299835,0.8111111111111111,0.6468790849673202
ACSF1,24,extra_trees,0.8,0.8,0.6617062051235724,0.982111111111111,0.7940271355751232
ACSF1,24,random_forest,0.8,0.8,0.7440986763795396,0.9788333333333334,0.7978846160196273
ACSF1,24,ridge,0.61,0.61,14.05702482175569,0.7833333333333334,0.5968782249742002
ACSF1,25,extra_trees,0.71,0.71,1.03450844963557,0.9712777777777778,0.7098399781519986
ACSF1,25,random_forest,0.75,0.7499999999999999,0.792289572422694,0.9702777777777777,0.7436395965500825
ACSF1,25,ridge,0.62,0.62,13.696588287864518,0.7888888888888889,0.5817627858841781
ACSF1,26,extra_trees,0.79,0.79,0.7280505907992999,0.9652777777777779,0.7863262416977587
ACSF1,26,random_forest,0.76,0.76,0.7773951033913927,0.9670555555555554,0.7554760921912624
ACSF1,26,ridge,0.56,0.5599999999999999,15.859207491211547,0.7555555555555554,0.5519124201504064
ACSF1,27,extra_trees,0.78,0.78,0.7010923111442707,0.9708888888888889,0.7789868610921243
ACSF1,27,random_forest,0.76,0.76,0.7569872103863736,0.9668333333333333,0.7545047109752993
ACSF1,27,ridge,0.59,0.5900000000000001,14.77789788953803,0.7722222222222221,0.5761931710997924
ACSF1,28,extra_trees,0.83,0.8300000000000001,0.6451912952324912,0.9767777777777777,0.8286308229692264
ACSF1,28,random_forest,0.82,0.82,0.7458364941115135,0.9714444444444444,0.8122913343965975
ACSF1,28,ridge,0.63,0.6300000000000001,13.336151753973347,0.7944444444444446,0.6162662837827731
ACSF1,29,extra_trees,0.72,0.72,0.7876398820096617,0.9620000000000002,0.7090066403511684
ACSF1,29,random_forest,0.68,0.6799999999999999,0.8655641008123145,0.9589444444444445,0.6591619165148578
ACSF1,29,ridge,0.56,0.5599999999999999,15.859207491211547,0.7555555555555554,0.5225565882918823
Adiac,0,extra_trees,0.8158567774936062,0.8171399921399921,0.8361707832976725,0.9933598756248897,0.8081652163744978
Adiac,0,random_forest,0.8184143222506394,0.8223469848469849,0.9228610036605625,0.9928819483660045,0.8100233867636611
Adiac,0,ridge,0.6470588235294118,0.6655650280650282,12.721289431453114,0.8190527701046122,0.5893209384990652
Adiac,1,extra_trees,0.8184143222506394,0.8172044547044546,0.8878209147769799,0.9901178250232797,0.8158197366936116
Adiac,1,random_forest,0.8005115089514067,0.805576593076593,1.074556304786081,0.9850360577330252,0.7964159889038752
Adiac,1,ridge,0.6342710997442456,0.6500262500262499,13.182205715201414,0.8124924503089607,0.5691523351699141
Adiac,2,extra_trees,0.8081841432225064,0.8165887415887416,0.7981730066820072,0.9928268206875321,0.7987288004723495
Adiac,2,random_forest,0.8184143222506394,0.8280349530349531,0.8752613805427071,0.9920837818982357,0.8112592045360987
Adiac,2,ridge,0.6163682864450127,0.63496060996061,13.827488512449035,0.8033414758078223,0.5491491246199661
Adiac,3,extra_trees,0.8286445012787724,0.8277867402867404,0.7843594588201,0.9934037554368588,0.822397609568814
Adiac,3,random_forest,0.8235294117647058,0.8256682506682506,0.9351404877138602,0.9907664590530549,0.8139415884977247
Adiac,3,ridge,0.639386189258312,0.6612462612462612,12.997839201702094,0.8151387800584602,0.5773851075096316
Adiac,4,extra_trees,0.7979539641943734,0.8050308925308926,0.8240182859699265,0.9915183882727233,0.7948248294760494
Adiac,4,random_forest,0.7800511508951407,0.7914704664704664,0.9007911426564558,0.990044974986997,0.7792055151794547
Adiac,4,ridge,0.6086956521739131,0.6289163914163913,14.104038282698017,0.7993827427971242,0.5382838068876945
Adiac,5,extra_trees,0.8286445012787724,0.8342886092886093,1.0583208493579592,0.9878213207060358,0.8263385211889411
Adiac,5,random_forest,0.8158567774936062,0.8219824469824469,1.131688930121205,0.9864591096679572,0.8147138257053129
Adiac,5,ridge,0.6572890025575447,0.6783723408723408,12.352556404454472,0.8243324722416044,0.5971116917658881
Adiac,6,extra_trees,0.8209718670076727,0.8233427608427608,0.7666956177264401,0.9933694926667253,0.8177995579382543
Adiac,6,random_forest,0.8363171355498721,0.8380426630426631,0.8240127915847812,0.9923405902745338,0.8303632944249242
Adiac,6,ridge,0.5754475703324808,0.6046522171522172,15.302420620443602,0.7826033988461559,0.5030688811046768
Adiac,7,extra_trees,0.8184143222506394,0.8143289893289893,0.8141804379119061,0.991451147348103,0.8160880973699409
Adiac,7,random_forest,0.7953964194373402,0.7928572178572179,0.8780960346040955,0.991008735067122,0.7891275783976591
Adiac,7,ridge,0.6342710997442456,0.6502732252732253,13.182205715201414,0.8124590038533381,0.5820055089653677
Adiac,8,extra_trees,0.8107416879795396,0.8258797133797134,0.8183003410891698,0.9918858986600002,0.8015451282446558
Adiac,8,random_forest,0.8056265984654731,0.8216218841218842,1.2193513638659252,0.9867212550139494,0.7999313906231771
Adiac,8,ridge,0.6240409207161125,0.6451431451431452,13.550938742200056,0.8071442568243209,0.5531311498053133
Adiac,9,extra_trees,0.8235294117647058,0.8257245007245008,0.775171526499045,0.9932940055915784,0.8168880661706176
Adiac,9,random_forest,0.8132992327365729,0.8178731178731179,0.8754745374168369,0.9929466608301499,0.8064878672471213
Adiac,9,ridge,0.6214833759590793,0.6377272877272877,13.643121998949713,0.8057284646188052,0.554295988817816
Adiac,10,extra_trees,0.8312020460358056,0.8385653760653762,0.9643757497604205,0.9887410627169008,0.825290342494599
Adiac,10,random_forest,0.8107416879795396,0.8226944976944977,1.0493325125781816,0.9856547306566337,0.8034914876340965
Adiac,10,ridge,0.6163682864450127,0.6365347490347492,13.827488512449035,0.8032694015935926,0.5389039369568043
Adiac,11,extra_trees,0.8056265984654731,0.806555494055494,0.8945170613483021,0.9906150581772782,0.7984630340092684
Adiac,11,random_forest,0.8158567774936062,0.8202019827019826,0.8754999015911618,0.9911596294981952,0.8100384376586127
Adiac,11,ridge,0.6138107416879796,0.6326792201792202,13.919671769198695,0.8017935972331321,0.5486704076700346
Adiac,12,extra_trees,0.7851662404092071,0.7873142248142248,1.048875620825139,0.9861340594884063,0.7760144631005766
Adiac,12,random_forest,0.7928388746803069,0.7959427959427959,0.9304621071185856,0.9876005235071637,0.7853447077311336
Adiac,12,ridge,0.5959079283887468,0.6099540849540849,14.564954566446318,0.7926445627583601,0.5360192375838123
Adiac,13,extra_trees,0.8158567774936062,0.8125863625863625,0.9595843734634497,0.988785709578848,0.8123311949122323
Adiac,13,random_forest,0.7953964194373402,0.7918948918948918,0.892265512481922,0.9895655248914256,0.7844836959016356
Adiac,13,ridge,0.5907928388746803,0.6111057486057486,14.749321079945638,0.7903708791608087,0.5173500063198553
Adiac,14,extra_trees,0.782608695652174,0.779649067149067,1.1060891634770573,0.9847937221823604,0.7716513831593146
Adiac,14,random_forest,0.7902813299232737,0.7881954381954381,0.9862104674392606,0.9859561046279496,0.7833228172509907
Adiac,14,ridge,0.5703324808184144,0.600394687894688,15.48678713394292,0.7800324338572785,0.5045827360898796
Adiac,15,extra_trees,0.8005115089514067,0.804153579153579,1.0459003541242056,0.9873883990253012,0.7956926407932211
Adiac,15,random_forest,0.7928388746803069,0.7978867603867603,1.0483643509358922,0.9871701609048129,0.7817849055396221
Adiac,15,ridge,0.6368286445012787,0.6566999441999443,13.090022458451754,0.8139162550062848,0.5792086928772365
Adiac,16,extra_trees,0.8388746803069054,0.8349781599781599,0.9250897976517805,0.9900325657919403,0.8404041006031433
Adiac,16,random_forest,0.8107416879795396,0.8092178467178467,1.012120820215961,0.9893885141688658,0.8089810987792294
Adiac,16,ridge,0.6265984654731458,0.6480434730434731,13.458755485450395,0.8085957074583141,0.5642604594416871
Adiac,17,extra_trees,0.8286445012787724,0.8327650577650577,0.9353281019810202,0.9901150232615757,0.8218093157388547
Adiac,17,random_forest,0.8209718670076727,0.8281214281214281,0.8568069017956932,0.9914720581207354,0.8169589831370787
Adiac,17,ridge,0.629156010230179,0.6513625638625637,13.366572228700734,0.809809849813902,0.5535830425359537
Adiac,18,extra_trees,0.8107416879795396,0.8113028863028863,0.8681398699988616,0.991964921589999,0.8064399079778923
Adiac,18,random_forest,0.7979539641943734,0.8022654147654148,0.8707963681922037,0.991845489026622,0.7909497641692292
Adiac,18,ridge,0.6240409207161125,0.6396184896184897,13.550938742200053,0.8072368757059336,0.5636389876160274
Adiac,19,extra_trees,0.8260869565217391,0.8225304725304725,0.795010190450681,0.990632563210028,0.8235259331223753
Adiac,19,random_forest,0.8005115089514067,0.8017387642387643,0.9825642058147899,0.9867060129963553,0.7943748096069723
Adiac,19,ridge,0.6240409207161125,0.6432817557817558,13.550938742200053,0.8070859514702091,0.5521776028846845
Adiac,20,extra_trees,0.8056265984654731,0.8109821859821861,0.957222550487867,0.9892850358202674,0.8019149675728225
Adiac,20,random_forest,0.8081841432225064,0.8136973761973763,0.976390884493987,0.9865950788419873,0.8032384897145799
Adiac,20,ridge,0.6342710997442456,0.6531553281553282,13.182205715201414,0.812610576466983,0.583417332178198
Adiac,21,extra_trees,0.7979539641943734,0.8026566526566526,1.2771268261123878,0.9860061870673369,0.7887539812060094
Adiac,21,random_forest,0.7800511508951407,0.7866804741804742,1.2693495887920894,0.9857704521471843,0.7712876357331024
Adiac,21,ridge,0.6521739130434783,0.6747467997467999,12.536922917953792,0.8217655933877496,0.590095689159421
Adiac,22,extra_trees,0.8107416879795396,0.8131109131109131,0.9092912020405755,0.9884580264113332,0.806053801310043
Adiac,22,random_forest,0.7723785166240409,0.7863494613494613,0.9728635032692861,0.9864690371903936,0.7612004821844629
Adiac,22,ridge,0.5703324808184144,0.5964122964122964,15.486787133942919,0.7799656386600253,0.49770532977194726
Adiac,23,extra_trees,0.8209718670076727,0.8278300153300152,0.743939274342077,0.9941854434997156,0.8126002258397463
Adiac,23,random_forest,0.8005115089514067,0.8072754197754197,0.8326918664576662,0.9926728164954396,0.7889706460409917
Adiac,23,ridge,0.5805626598465473,0.6089227214227214,15.11805410694428,0.7849039163030752,0.49506262898878456
Adiac,24,extra_trees,0.80306905370844,0.8043515043515044,0.90504835341406,0.9894462897302357,0.7976113827803385
Adiac,24,random_forest,0.7851662404092071,0.7902281277281277,0.9920724569960675,0.9882989959698126,0.7770724824503931
Adiac,24,ridge,0.6035805626598465,0.6222169722169723,14.288404796197336,0.7967442425646097,0.531090940428303
Adiac,25,extra_trees,0.7979539641943734,0.7995842370842372,0.909874866117055,0.9895857423226834,0.8004157656801163
Adiac,25,random_forest,0.7749360613810742,0.7764046389046388,1.1511829865552032,0.985504320250755,0.7740480421011956
Adiac,25,ridge,0.6010230179028133,0.616538454038454,14.380588052946997,0.7954729365098533,0.5403344226745708
Adiac,26,extra_trees,0.8132992327365729,0.8182889557889558,0.8803717917758851,0.9910756687786391,0.8103881005379165
Adiac,26,random_forest,0.7902813299232737,0.7953774078774078,0.8859946769814661,0.9918629086164954,0.7874091625295065
Adiac,26,ridge,0.6086956521739131,0.6333250458250458,14.104038282698017,0.7993518082668991,0.5388248762884645
Adiac,27,extra_trees,0.8107416879795396,0.8206205581205581,0.8511360590446323,0.9928888932137668,0.8007248113702257
Adiac,27,random_forest,0.7928388746803069,0.8001384126384127,0.8508892394229269,0.99307050290992,0.782214076355678
Adiac,27,ridge,0.6317135549872123,0.6566753441753443,13.274388971951074,0.8111883214968912,0.5698411200784007
