Series length,Number of samples,Estimator,Run,Threads,Runtime
16,1,moment_quant_exact_intervals,8,8,0.0011770419987442438
16,1,moment_quant_exact_samples,9,8,0.0008050409996940289
16,1,moment_quant_approx_samples,8,8,0.004210916998999892
16,1,moment_quant_exact_intervals,7,8,0.0011562499967112672
16,1,moment_quant_exact_samples,1,8,0.0008846249984344468
16,1,moment_quant_exact_intervals,1,8,0.0011706670011335518
16,1,moment_quant_approx_intervals,5,8,0.004507500001636799
16,1,moment_quant_approx_intervals,6,8,0.004501957999309525
16,1,moment_quant_exact_samples,4,8,0.0007392080005956814
16,1,moment_quant_approx_intervals,8,8,0.004544709001493175
16,1,moment_quant_approx_samples,1,8,0.004296291001082864
16,1,moment_quant_approx_intervals,2,8,0.004506834000494564
16,1,moment_quant_exact_samples,0,8,0.0006544590032717679
16,1,moment_quant_exact_samples,3,8,0.0007601659999636468
16,1,moment_quant_approx_samples,0,8,0.004138541997235734
16,1,moment_quant_exact_samples,5,8,0.0006865840005048085
16,1,moment_quant_approx_samples,4,8,0.004142042002058588
16,1,moment_quant_approx_intervals,9,8,0.004515915999945719
16,1,moment_quant_approx_samples,3,8,0.004146874998696148
16,1,moment_quant_exact_intervals,5,8,0.0011302919992886018
16,1,moment_quant_approx_samples,7,8,0.00416870899789501
16,1,moment_quant_exact_samples,8,8,0.0007607500010635704
16,1,moment_quant_approx_intervals,1,8,0.004550583998934599
16,1,moment_quant_approx_samples,9,8,0.004133792001084657
16,1,moment_quant_exact_intervals,9,8,0.001168792001408292
16,1,moment_quant_exact_intervals,2,8,0.0011433750005380716
16,1,moment_quant_exact_intervals,6,8,0.0011044169987144414
16,1,moment_quant_exact_samples,2,8,0.0008420419981121086
16,1,moment_quant_exact_intervals,3,8,0.0011169579993293155
16,1,moment_quant_exact_samples,7,8,0.000693958001647843
16,1,moment_quant_approx_samples,5,8,0.004215790999296587
16,1,moment_quant_approx_samples,2,8,0.0041409999976167455
16,1,moment_quant_approx_intervals,3,8,0.004526042001089081
16,1,moment_quant_approx_intervals,4,8,0.004644542001187801
16,1,moment_quant_approx_intervals,7,8,0.004535249998298241
16,1,moment_quant_exact_samples,6,8,0.0007119170004443731
16,1,moment_quant_approx_samples,6,8,0.004238708002958447
16,1,moment_quant_exact_intervals,0,8,0.0011632080022536684
16,1,moment_quant_approx_intervals,0,8,0.004530083999270573
16,1,moment_quant_exact_intervals,4,8,0.001134707999881357
16,2,moment_quant_approx_intervals,5,8,0.004657499997847481
16,2,moment_quant_approx_intervals,1,8,0.004652666000765748
16,2,moment_quant_exact_samples,4,8,0.0007447499992849771
16,2,moment_quant_approx_samples,9,8,0.004228290999890305
16,2,moment_quant_approx_intervals,2,8,0.0045977500012668315
16,2,moment_quant_approx_intervals,8,8,0.004553958999167662
16,2,moment_quant_approx_intervals,6,8,0.004587333001836669
16,2,moment_quant_exact_samples,5,8,0.0008179999967978802
16,2,moment_quant_approx_intervals,0,8,0.004617250000592321
16,2,moment_quant_approx_intervals,9,8,0.004603957997460384
16,2,moment_quant_approx_samples,2,8,0.004304500002035638
16,2,moment_quant_exact_intervals,4,8,0.0011553750009625219
16,2,moment_quant_exact_samples,8,8,0.0006454169997596182
16,2,moment_quant_approx_samples,5,8,0.00413579199812375
16,2,moment_quant_exact_samples,2,8,0.0007472079996659886
16,2,moment_quant_approx_samples,1,8,0.004185459001746494
16,2,moment_quant_exact_intervals,5,8,0.0011632499990810174
16,2,moment_quant_approx_samples,0,8,0.004197207999823149
16,2,moment_quant_exact_intervals,7,8,0.0011267910012975335
16,2,moment_quant_approx_samples,6,8,0.004162417000770802
16,2,moment_quant_approx_intervals,3,8,0.004632125001080567
16,2,moment_quant_exact_samples,0,8,0.0007545410007878672
16,2,moment_quant_exact_samples,3,8,0.0007154159975470975
16,2,moment_quant_approx_samples,7,8,0.004243082999892067
16,2,moment_quant_exact_intervals,1,8,0.0011547499998414423
16,2,moment_quant_exact_samples,1,8,0.0007859580000513233
16,2,moment_quant_exact_intervals,8,8,0.0011758329965232406
16,2,moment_quant_approx_samples,8,8,0.0042883329988399055
16,2,moment_quant_exact_samples,6,8,0.0007053750014165416
16,2,moment_quant_exact_intervals,3,8,0.0011532089993124828
16,2,moment_quant_approx_samples,4,8,0.004373208001197781
16,2,moment_quant_approx_intervals,7,8,0.004688332999648992
16,2,moment_quant_approx_intervals,4,8,0.004595249996782513
16,2,moment_quant_exact_intervals,2,8,0.0011451669997768477
16,2,moment_quant_exact_samples,7,8,0.0007150839992391411
16,2,moment_quant_exact_intervals,9,8,0.0011633750000328291
16,2,moment_quant_exact_samples,9,8,0.0006700409976474475
16,2,moment_quant_exact_intervals,6,8,0.0011536250021890737
16,2,moment_quant_exact_intervals,0,8,0.0011003330000676215
16,2,moment_quant_approx_samples,3,8,0.004162125002039829
16,3,moment_quant_exact_intervals,4,8,0.0011397910020605195
16,3,moment_quant_exact_intervals,0,8,0.0010987920031766407
16,3,moment_quant_approx_samples,4,8,0.004315459002100397
16,3,moment_quant_approx_intervals,6,8,0.004642333002266241
16,3,moment_quant_exact_samples,4,8,0.0007132499995350372
16,3,moment_quant_exact_intervals,6,8,0.0011799169988080394
16,3,moment_quant_exact_samples,6,8,0.000823375001345994
16,3,moment_quant_approx_intervals,8,8,0.004715375001978828
16,3,moment_quant_exact_intervals,5,8,0.0011637500028882641
16,3,moment_quant_exact_samples,2,8,0.0007853330025682226
16,3,moment_quant_exact_samples,3,8,0.000761874998715939
16,3,moment_quant_exact_intervals,3,8,0.0011563330008357298
16,3,moment_quant_approx_samples,2,8,0.004234207997797057
16,3,moment_quant_exact_samples,7,8,0.0006549159988935571
16,3,moment_quant_exact_intervals,2,8,0.0011437499997555278
16,3,moment_quant_exact_samples,5,8,0.0007264170017151628
16,3,moment_quant_approx_intervals,4,8,0.004662999999709427
16,3,moment_quant_approx_intervals,2,8,0.004634375000023283
16,3,moment_quant_approx_intervals,0,8,0.0046140409976942465
16,3,moment_quant_approx_samples,7,8,0.004329792001954047
16,3,moment_quant_exact_intervals,8,8,0.0011677500006044284
16,3,moment_quant_exact_samples,0,8,0.0008754579976084642
16,3,moment_quant_approx_samples,9,8,0.004185124998912215
16,3,moment_quant_exact_samples,1,8,0.0007939999995869584
16,3,moment_quant_approx_intervals,9,8,0.004662415998609504
16,3,moment_quant_approx_intervals,3,8,0.00462412500201026
16,3,moment_quant_exact_samples,9,8,0.0008477499977743719
16,3,moment_quant_exact_intervals,9,8,0.0011567920009838417
16,3,moment_quant_approx_samples,8,8,0.004461708002054365
16,3,moment_quant_approx_samples,0,8,0.004432624999026302
16,3,moment_quant_approx_intervals,1,8,0.004687332999310456
16,3,moment_quant_approx_intervals,7,8,0.00463116699756938
16,3,moment_quant_approx_intervals,5,8,0.0046211250009946525
16,3,moment_quant_exact_intervals,7,8,0.001149957999587059
16,3,moment_quant_approx_samples,5,8,0.004255541000020457
16,3,moment_quant_exact_samples,8,8,0.0006787919992348179
16,3,moment_quant_approx_samples,1,8,0.004169833002379164
16,3,moment_quant_approx_samples,6,8,0.00418133399944054
16,3,moment_quant_exact_intervals,1,8,0.0011613749993557576
16,3,moment_quant_approx_samples,3,8,0.004226875000313157
16,4,moment_quant_exact_intervals,9,8,0.0011482500012789387
16,4,moment_quant_approx_samples,4,8,0.004221457998937694
16,4,moment_quant_exact_samples,2,8,0.000791041999036679
16,4,moment_quant_exact_samples,5,8,0.0008522499992977828
16,4,moment_quant_approx_intervals,9,8,0.0046302089976961724
16,4,moment_quant_exact_samples,6,8,0.0007475000020349398
16,4,moment_quant_approx_intervals,7,8,0.004557333999400726
16,4,moment_quant_approx_samples,3,8,0.0042285420022381
16,4,moment_quant_exact_intervals,7,8,0.0011541659987415187
16,4,moment_quant_approx_intervals,4,8,0.004573209000227507
16,4,moment_quant_approx_intervals,8,8,0.004557749998639338
16,4,moment_quant_exact_samples,7,8,0.000793790997704491
16,4,moment_quant_exact_samples,8,8,0.000801792000856949
16,4,moment_quant_approx_samples,7,8,0.004235500000504544
16,4,moment_quant_exact_intervals,2,8,0.0011654170011752285
16,4,moment_quant_exact_intervals,8,8,0.00110816700180294
16,4,moment_quant_approx_intervals,3,8,0.004603083998517832
16,4,moment_quant_exact_intervals,1,8,0.0011188330026925541
16,4,moment_quant_approx_samples,2,8,0.004233791001752252
16,4,moment_quant_exact_intervals,0,8,0.0011213340003450867
16,4,moment_quant_exact_samples,3,8,0.0007479169980797451
16,4,moment_quant_approx_intervals,5,8,0.004581291999784298
16,4,moment_quant_exact_intervals,6,8,0.0011269579990766943
16,4,moment_quant_exact_intervals,3,8,0.0011021669997717254
16,4,moment_quant_approx_samples,0,8,0.004189790997770615
16,4,moment_quant_exact_intervals,5,8,0.0011363749981683213
16,4,moment_quant_exact_samples,4,8,0.0007330410007853061
16,4,moment_quant_approx_intervals,6,8,0.004584500002238201
16,4,moment_quant_approx_samples,9,8,0.004199000002699904
16,4,moment_quant_approx_samples,8,8,0.004210708000755403
16,4,moment_quant_approx_intervals,1,8,0.004654583000956336
16,4,moment_quant_approx_samples,5,8,0.004285874998458894
16,4,moment_quant_exact_samples,9,8,0.0006925830020918511
16,4,moment_quant_exact_samples,0,8,0.0007722919981461018
16,4,moment_quant_approx_intervals,0,8,0.004664833999413531
16,4,moment_quant_approx_samples,6,8,0.004276750001736218
16,4,moment_quant_approx_samples,1,8,0.0042847499971685465
16,4,moment_quant_exact_samples,1,8,0.0007772919998387806
