Dataset,Split,Number of samples,Series length,Estimator,Run,Runtime
ECG200,train,100,96,moment_quant_approx_samples,8,0.02035404100024607
ECG200,test,100,96,moment_quant_approx_samples,8,0.018715209000220057
ECG200,train,100,96,quant_float64,3,0.02496824999980163
ECG200,test,100,96,quant_float64,3,0.023553458999231225
ECG200,train,100,96,moment_quant_exact_intervals,3,0.010499500000150874
ECG200,test,100,96,moment_quant_exact_intervals,3,0.009088667000469286
ECG200,train,100,96,moment_quant_exact_intervals,7,0.010360750002291752
ECG200,test,100,96,moment_quant_exact_intervals,7,0.009057125000254018
ECG200,train,100,96,moment_quant_exact_auto,2,0.006875416002003476
ECG200,test,100,96,moment_quant_exact_auto,2,0.004986041996744461
ECG200,train,100,96,moment_quant_approx_auto,4,0.020090166999580106
ECG200,test,100,96,moment_quant_approx_auto,4,0.018705082999076694
ECG200,train,100,96,moment_quant_exact_auto,0,0.0063218329996743705
ECG200,test,100,96,moment_quant_exact_auto,0,0.004739124997286126
ECG200,train,100,96,moment_quant_approx_intervals,8,0.02637312500155531
ECG200,test,100,96,moment_quant_approx_intervals,8,0.024889582997275284
ECG200,train,100,96,moment_quant_exact_auto,5,0.0061047920025885105
ECG200,test,100,96,moment_quant_exact_auto,5,0.004931166000460507
ECG200,train,100,96,moment_quant_approx_intervals,3,0.02619133400003193
ECG200,test,100,96,moment_quant_approx_intervals,3,0.024912749999202788
ECG200,train,100,96,moment_quant_approx_auto,2,0.02003237499957322
ECG200,test,100,96,moment_quant_approx_auto,2,0.018809542001690716
ECG200,train,100,96,quant_float64,1,0.02503383300063433
ECG200,test,100,96,quant_float64,1,0.023707125001237728
ECG200,train,100,96,moment_quant_approx_auto,1,0.02005954199921689
ECG200,test,100,96,moment_quant_approx_auto,1,0.01859445900117862
ECG200,train,100,96,moment_quant_exact_auto,8,0.0063294589999713935
ECG200,test,100,96,moment_quant_exact_auto,8,0.004950540998834185
ECG200,train,100,96,moment_quant_exact_auto,7,0.006239334001293173
