Series length,Method,Run,Runtime
512,intervals,9,0.07402162499784026
512,presort,7,0.2059199580035056
512,presort,0,0.2074575000006007
512,presort,4,0.2063223330042092
512,intervals,2,0.07272329199622618
512,intervals,6,0.07256779100134736
512,intervals,4,0.07335654199414421
512,intervals,7,0.07286491699778708
512,presort,3,0.20726916599960532
512,presort,8,0.2078883330032113
512,intervals,8,0.07307924999622628
512,presort,9,0.2069140419989708
512,presort,6,0.2066279169957852
512,intervals,0,0.07323745799658354
512,intervals,3,0.07300691700220341
512,presort,1,0.20600066699989839
512,presort,5,0.2062531250048778
512,intervals,5,0.07319804200233193
512,intervals,1,0.07222416700096801
512,presort,2,0.20662500000617
1024,intervals,7,0.17118454199953703
1024,presort,9,0.4566081250013667
1024,presort,6,0.45745920799527084
1024,presort,4,0.4584247500024503
1024,presort,0,0.45739195899659535
1024,intervals,6,0.1730096249957569
1024,intervals,5,0.1732820420002099
1024,intervals,9,0.1731354579969775
1024,presort,1,0.45858087499800604
1024,presort,3,0.45807487500132993
1024,presort,5,0.4561669999966398
1024,intervals,0,0.17371920900041005
1024,intervals,1,0.1727678749957704
1024,intervals,2,0.17367733300488908
1024,presort,2,0.45816083299723687
1024,intervals,3,0.17353799999546027
1024,intervals,4,0.1716637499994249
1024,presort,8,0.45700345800287323
1024,intervals,8,0.17176266699971166
1024,presort,7,0.4582256670037168
2048,intervals,9,0.396328041999368
2048,presort,0,0.9965232089962228
2048,intervals,7,0.39340262499899836
2048,intervals,3,0.39366554200387327
2048,intervals,0,0.39434020800399594
2048,intervals,6,0.39339312499942025
2048,presort,7,0.9923236670001643
2048,intervals,2,0.3991387920032139
2048,presort,2,0.9901716250024037
2048,presort,5,0.992095875000814
2048,intervals,5,0.3971497919992544
2048,presort,4,0.9900333330006106
2048,presort,8,0.9912427500021295
2048,intervals,1,0.3991464169957908
2048,presort,6,0.992903500002285
2048,intervals,8,0.395355708002171
2048,presort,9,0.9925792499998352
2048,presort,1,0.9920334159978665
2048,intervals,4,0.40529124999738997
2048,presort,3,0.9963525829953142
4096,intervals,2,0.9086050000041723
4096,intervals,1,0.908345374999044
4096,intervals,9,0.9038305409994791
4096,intervals,6,0.9164766670000972
4096,presort,9,2.0949558749998687
4096,intervals,8,0.9055608330018003
4096,presort,5,2.10650424999767
4096,presort,1,2.109546790998138
4096,intervals,4,0.9165179160045227
4096,presort,7,2.097143499995582
4096,presort,6,2.095915874997445
4096,presort,0,2.0951134170027217
4096,presort,4,2.0899763330016867
4096,intervals,5,0.9109468749957159
4096,intervals,0,0.9150992079958087
4096,presort,8,2.099891083998955
4096,intervals,3,0.9169992500028457
4096,presort,3,2.092536582997127
4096,presort,2,2.107028750004247
4096,intervals,7,0.9113924999983283
8192,presort,3,4.579558917001123
8192,presort,2,4.583127999998396
8192,presort,1,4.56707112499862
8192,presort,9,4.572473833002732
8192,intervals,9,1.9892209160025232
8192,intervals,1,1.9961250420019496
8192,presort,5,4.577906874998007
8192,intervals,2,1.9984515410033055
8192,intervals,3,1.99422858300386
8192,intervals,4,1.9957419999991544
8192,intervals,7,1.9962594999960857
8192,presort,0,4.590211208000255
8192,presort,7,4.579922875003831
8192,intervals,0,1.9983859579951968
8192,presort,4,4.577687874996627
8192,presort,8,4.5715470839932095
8192,intervals,6,1.9962128749975818
8192,intervals,5,1.9983638749981765
8192,intervals,8,2.004808708996279
8192,presort,6,4.57247912499588
16384,presort,6,9.776446083997143
16384,intervals,4,4.297502333000011
16384,intervals,2,4.303040291000798
16384,intervals,9,4.3070475829954376
16384,intervals,7,4.297205375005433
16384,presort,4,9.760567041004833
16384,intervals,1,4.306781541003147
16384,intervals,8,4.310809000002337
16384,presort,9,9.797719750000397
16384,presort,1,9.813314457998786
16384,intervals,0,4.294781833006709
16384,intervals,3,4.310043792000215
16384,presort,7,9.781758875004016
16384,presort,2,9.783494041999802
16384,presort,0,9.771924084001512
16384,presort,5,9.776795166006195
16384,intervals,6,4.303928249995806
16384,presort,3,9.782398917006503
16384,presort,8,9.767158791997645
16384,intervals,5,4.308544166000502
32768,presort,9,21.16186966600071
32768,presort,2,21.152798791998066
32768,intervals,5,9.308701374997327
32768,intervals,3,9.267913750001753
32768,presort,6,21.12585104200116
32768,intervals,6,9.28683912500128
32768,presort,0,21.08911512499617
32768,presort,1,21.1375752909953
32768,presort,3,21.09102300000086
32768,intervals,1,9.264205833998858
32768,presort,4,21.114886875002412
32768,intervals,7,9.270844875005423
32768,intervals,2,9.269856375001837
32768,intervals,0,9.35478937500011
32768,presort,8,21.12480520799727
32768,presort,7,21.066523292000056
32768,intervals,9,9.264024292002432
32768,intervals,4,9.26442495900119
32768,intervals,8,9.265201583999442
32768,presort,5,21.164391457998136
