Series length,Threads,Method,Run,Runtime
512,1,intervals_msort,8,0.15739412499897298
512,1,presort,1,0.1878199169987056
512,1,intervals_msort,0,0.1564440830006788
512,1,presort,0,0.18721429200013517
512,1,intervals,9,0.15616675000273972
512,1,presort,5,0.18730445899927872
512,1,intervals_msort,7,0.1583607499997015
512,1,intervals_msort,9,0.15802954100217903
512,1,presort,6,0.18773145900195232
512,1,intervals,4,0.1561562499991851
512,1,presort,3,0.18706133299929206
512,1,intervals,2,0.15586070799690788
512,1,intervals,6,0.15592545799881918
512,1,intervals_msort,4,0.15672858300240478
512,1,intervals_msort,6,0.15751275000002352
512,1,presort,8,0.1875319999999192
512,1,intervals,7,0.1558965830008674
512,1,presort,9,0.18730291599786142
512,1,intervals_msort,3,0.16053395800190629
512,1,presort,7,0.1886630420012807
512,1,intervals,8,0.15629654099757317
512,1,presort,4,0.1882228340000438
512,1,intervals,0,0.1566062919991964
512,1,intervals,3,0.15637954200064996
512,1,intervals_msort,1,0.1595337920007296
512,1,intervals_msort,5,0.15706366599988542
512,1,intervals,5,0.15604800000073737
512,1,intervals,1,0.15606950000073994
512,1,intervals_msort,2,0.15742233299897634
512,1,presort,2,0.188764208000066
1024,1,presort,8,0.3891830829998071
1024,1,presort,5,0.3900360000006913
1024,1,intervals,6,0.3415246249969641
1024,1,presort,7,0.39137516600021627
1024,1,intervals,2,0.3429492499999469
1024,1,intervals_msort,5,0.34788874999867403
1024,1,intervals,9,0.34438158299963106
1024,1,intervals,5,0.34034533299927716
1024,1,presort,2,0.39374983399829944
1024,1,presort,0,0.3918530830014788
1024,1,presort,4,0.3952187499999127
1024,1,intervals_msort,4,0.34487691699905554
1024,1,intervals,7,0.34206916699986323
1024,1,intervals,1,0.3428647500004445
1024,1,intervals,8,0.3428170000006503
1024,1,intervals_msort,2,0.3475163330003852
1024,1,intervals_msort,1,0.34547400000155903
1024,1,intervals,4,0.34403050000037183
1024,1,intervals_msort,3,0.34869187499862164
1024,1,intervals_msort,0,0.34522991699850536
1024,1,presort,9,0.39149820799866575
1024,1,intervals_msort,9,0.34401625000100466
1024,1,presort,3,0.387432166000508
1024,1,presort,1,0.39462079200166045
1024,1,presort,6,0.3884925829988788
1024,1,intervals,0,0.3411363339982927
1024,1,intervals_msort,8,0.3443880410013662
1024,1,intervals,3,0.3423830000028829
1024,1,intervals_msort,6,0.34463250000044354
1024,1,intervals_msort,7,0.3433715419996588
2048,1,intervals,6,0.7656431659997907
2048,1,intervals,2,0.7672151670012681
2048,1,intervals_msort,9,0.7600674170025741
2048,1,intervals,1,0.7642159169990919
2048,1,intervals,8,0.7625164999990375
2048,1,presort,1,0.8326699589997588
2048,1,presort,0,0.8321610420025536
2048,1,presort,2,0.8360167909995653
2048,1,intervals_msort,5,0.7755192500007979
2048,1,presort,9,0.8334421250001469
2048,1,intervals_msort,7,0.7945852499979082
2048,1,intervals_msort,8,0.7868042910013173
2048,1,intervals_msort,1,0.7827317090013821
2048,1,presort,3,0.8299571669995203
2048,1,presort,5,0.8359553330010385
2048,1,intervals_msort,4,0.7829816250014119
2048,1,intervals,5,0.7713389579985233
2048,1,intervals_msort,6,0.7998074580027605
2048,1,presort,4,0.8384365829988383
2048,1,intervals_msort,3,0.7815634170001431
2048,1,intervals_msort,2,0.7928651660004107
2048,1,intervals,7,0.779329166001844
2048,1,presort,6,0.8388433750005788
2048,1,presort,8,0.8362672080002085
2048,1,intervals,3,0.7782291250005073
2048,1,intervals,0,0.7646339169987186
2048,1,presort,7,0.8383941669999331
2048,1,intervals,9,0.7709527500010154
2048,1,intervals_msort,0,0.7736897920003685
2048,1,intervals,4,0.7772402090013202
4096,1,presort,5,1.7071055410015106
4096,1,intervals,9,1.7413765840028645
4096,1,intervals_msort,3,1.7700657089990273
4096,1,intervals,0,1.7485985420025827
4096,1,intervals_msort,4,1.7777877090011316
4096,1,intervals_msort,9,1.7670511249998526
4096,1,presort,9,1.7184392499984824
4096,1,intervals,2,1.7371629580011358
4096,1,intervals_msort,2,1.7682726249986445
4096,1,intervals,8,1.733586957998341
4096,1,presort,8,1.7153922919969773
4096,1,presort,7,1.697138832998462
4096,1,intervals_msort,7,1.781863666998106
4096,1,intervals_msort,1,1.7738613330002408
4096,1,presort,2,1.6967017500028305
4096,1,presort,0,1.7035509170018486
4096,1,intervals,1,1.7382631670006958
4096,1,intervals,3,1.7409182089977548
4096,1,intervals_msort,8,1.7764081670029555
4096,1,presort,6,1.7064713750005467
4096,1,intervals,4,1.7368647499970393
4096,1,intervals_msort,5,1.7732547499981592
4096,1,intervals,7,1.7429774160009401
4096,1,intervals_msort,0,1.773139416000049
4096,1,presort,1,1.694932084003085
4096,1,intervals_msort,6,1.77765320799881
4096,1,presort,4,1.6921840830000292
4096,1,intervals,6,1.74354562499866
4096,1,intervals,5,1.7517368749977322
4096,1,presort,3,1.7141788749977422
8192,1,presort,8,3.7862672090013803
8192,1,intervals_msort,1,3.8707162079990667
8192,1,intervals,5,3.853509666998434
8192,1,presort,6,3.789797750003345
8192,1,presort,9,3.7892272079989198
8192,1,intervals,6,3.8517357079981593
8192,1,presort,0,3.7716634579992387
8192,1,intervals_msort,2,3.8753938329973607
8192,1,intervals,1,3.8374068339981022
8192,1,intervals_msort,3,3.889005042001372
8192,1,intervals,7,3.850019000001339
8192,1,intervals,2,3.8470946249981353
8192,1,intervals,0,3.851048874999833
8192,1,presort,4,3.779517917002522
8192,1,presort,5,3.8058329160012363
8192,1,intervals,9,3.846539666999888
8192,1,intervals,4,3.8461232090012345
8192,1,presort,2,3.7874859160001506
8192,1,intervals_msort,5,3.887921124998684
8192,1,intervals_msort,8,3.881557917000464
8192,1,intervals_msort,0,3.875117000003229
8192,1,presort,7,3.7867845830005535
8192,1,intervals,8,3.8406980830004613
8192,1,presort,3,3.7916182500048308
8192,1,intervals_msort,7,3.8983940000034636
8192,1,presort,1,3.7885546249963227
8192,1,intervals,3,3.8360972500013304
8192,1,intervals_msort,6,3.888422374999209
8192,1,intervals_msort,4,3.8734252080030274
8192,1,intervals_msort,9,3.8886128750018543
16384,1,intervals,2,8.485614457997144
16384,1,presort,2,7.933760125000845
16384,1,intervals_msort,0,8.514461874998233
16384,1,intervals_msort,9,8.534048165995046
16384,1,intervals,9,8.468057082995074
16384,1,intervals,3,8.479431624997233
16384,1,presort,8,7.922862833998806
16384,1,intervals_msort,3,8.54272637500253
16384,1,intervals,6,8.48314583300089
16384,1,intervals_msort,8,8.520521957994788
16384,1,presort,6,7.9578429169996525
16384,1,intervals_msort,7,8.520900415998767
16384,1,intervals_msort,5,8.572570624994114
16384,1,intervals_msort,4,8.525311665995105
16384,1,intervals,5,8.467813999995997
16384,1,intervals,4,8.465886500001943
16384,1,intervals,8,8.457594207997317
16384,1,presort,3,7.939770040997246
16384,1,presort,5,7.96344520799903
16384,1,presort,7,7.963108875002945
16384,1,intervals_msort,2,8.511674375004077
16384,1,intervals_msort,1,8.513923416998296
16384,1,presort,9,7.962706250000338
16384,1,intervals,7,8.480800707999151
16384,1,intervals,1,8.47608183400007
16384,1,presort,0,7.952661125003942
16384,1,intervals,0,8.464363667000725
16384,1,presort,4,7.949369459005538
16384,1,intervals_msort,6,8.52971716599859
16384,1,presort,1,7.950829374996829
32768,1,intervals,3,18.438221374999557
32768,1,intervals,8,18.44192208399909
32768,1,intervals,9,18.448184082997614
32768,1,presort,2,17.167983625004126
32768,1,intervals,0,18.455557457993564
32768,1,intervals_msort,7,18.490684249998594
32768,1,intervals_msort,2,18.49141833300382
32768,1,presort,7,17.15251104199706
32768,1,intervals_msort,0,18.57294791699678
32768,1,intervals_msort,3,18.548973416996887
32768,1,presort,0,17.167903249996016
32768,1,presort,6,17.175883167001302
32768,1,intervals,1,18.477908291999483
32768,1,intervals,4,18.468624916997214
32768,1,intervals_msort,8,18.505750832999183
32768,1,intervals_msort,6,18.497548833998735
32768,1,intervals_msort,4,18.51168245900044
32768,1,intervals,5,18.486344167002244
32768,1,intervals_msort,1,18.494438957997772
32768,1,intervals,7,18.493368083996756
32768,1,intervals_msort,5,18.5142314170007
32768,1,presort,9,17.153161916998215
32768,1,presort,5,17.15713304199744
32768,1,intervals,6,18.456363749995944
32768,1,presort,8,17.249389000004157
32768,1,presort,3,17.13851662500383
32768,1,intervals,2,18.489633916004095
32768,1,presort,1,17.14893770799972
32768,1,intervals_msort,9,18.50607120800123
32768,1,presort,4,17.14856462500029
