Series length,Dtype,"Runtime (quant, 1 thread)","Runtime (quant, default threads)",Runtime (moment_quant),Runtime (quant_numpy),Default threads (n_cores)
512,float32,0.14894124999409541,0.12992108399339486,0.07249154199962504,0.34802133300399873,8
512,float64,0.15562349999527214,0.1373850410018349,0.07262562499818159,0.348083917000622,8
1024,float32,0.319798083997739,0.23305245799565455,0.17103045800467953,1.0761742920003599,8
1024,float64,0.34006500000396045,0.2537761670027976,0.17470637500082375,1.0773974580006325,8
2048,float32,0.7156516249960987,0.4079573339986382,0.3921260419956525,3.6158842500008177,8
2048,float64,0.7682083330000751,0.46324570899741957,0.39667145800194703,3.6210944579943316,8
4096,float32,1.596790042000066,0.6881467080020229,0.8814329169981647,12.89188799999829,8
4096,float64,1.731144208999467,0.7864233750005951,0.8948623329997645,12.915268083001138,8
8192,float32,3.58971683299751,1.1939314589981223,1.9634652079985244,,8
8192,float64,3.841545582996332,1.3878103750030277,1.9816946249993634,,8
16384,float32,7.906869040998572,2.2000378749944502,4.292844542003877,,8
16384,float64,8.489707541993994,2.6086217499978375,4.329343332996359,,8
32768,float32,17.35099991599418,4.235486875004426,9.295163292001234,,8
32768,float64,18.537200999999186,4.905178458997398,9.372782167003606,,8
