Series length,Number of samples,Estimator,Run,Runtime
9,1,moment_quant_exact_intervals,6,0.0005774579999524576
9,1,moment_quant_approx_intervals,18,0.0021514589999469536
9,1,moment_quant_exact_samples,24,0.00023029199996926764
9,1,moment_quant_exact_intervals,3,0.000541917000077774
9,1,moment_quant_exact_samples,4,8.537499991234654e-05
9,1,moment_quant_approx_samples,10,0.001616207999973085
9,1,moment_quant_approx_intervals,24,0.0023707500000682558
9,1,moment_quant_exact_intervals,11,0.000583708000021943
9,1,moment_quant_approx_intervals,26,0.0029212499999857755
9,1,moment_quant_exact_samples,3,0.0002460409999684998
9,1,moment_quant_approx_intervals,15,0.002288334000013492
9,1,moment_quant_approx_samples,21,0.001637292000054913
9,1,moment_quant_exact_intervals,25,0.0005709590000151366
9,1,moment_quant_approx_samples,28,0.0016320829998903719
9,1,moment_quant_exact_samples,5,9.049999994203972e-05
9,1,moment_quant_approx_samples,15,0.0015943749999678403
9,1,moment_quant_exact_intervals,10,0.0005329589999973905
9,1,moment_quant_exact_samples,22,8.316599996760488e-05
9,1,moment_quant_exact_intervals,13,0.0005183330000591013
9,1,moment_quant_approx_samples,22,0.001610000000027867
9,1,moment_quant_approx_intervals,10,0.0022877079999261696
9,1,moment_quant_exact_intervals,7,0.000805833000072198
9,1,moment_quant_approx_intervals,25,0.002388416000030702
9,1,moment_quant_approx_intervals,6,0.0021652919999723963
9,1,moment_quant_approx_intervals,12,0.002138917000024776
9,1,moment_quant_approx_intervals,17,0.002135042000077192
9,1,moment_quant_exact_intervals,15,0.0005527920000076847
9,1,moment_quant_exact_intervals,4,0.0005224169999564765
9,1,moment_quant_approx_intervals,3,0.0021317920000001322
9,1,moment_quant_approx_intervals,11,0.002122957999972641
9,1,moment_quant_approx_samples,17,0.0017627089999905365
9,1,moment_quant_exact_samples,26,0.00014791699993566
9,1,moment_quant_approx_samples,0,0.001616207999973085
9,1,moment_quant_approx_intervals,8,0.0021441669999830992
9,1,moment_quant_exact_samples,17,8.5667000007561e-05
9,1,moment_quant_exact_samples,7,7.700000003296736e-05
9,1,moment_quant_approx_samples,25,0.0015926670000681042
9,1,moment_quant_exact_samples,27,8.095800001228781e-05
9,1,moment_quant_approx_samples,13,0.0015962909999416297
9,1,moment_quant_exact_intervals,12,0.0005441250000330911
