Series length,Number of samples,Estimator,Run,Runtime
9,1,quant_float64,0,0.0016191660033655353
9,1,quant_float64,1,0.0015836250022402965
9,1,quant_float64,2,0.0016137499987962656
9,1,quant_float64,3,0.0015587909947498702
9,1,quant_float64,4,0.0017005409972625785
9,1,quant_float64,5,0.0015402089993585832
9,1,quant_float64,6,0.001510500005679205
9,1,quant_float64,7,0.001505625004938338
9,1,quant_float64,8,0.0015052079979795963
9,1,quant_float64,9,0.0015037499979371205
9,3,quant_float64,0,0.0016017500020097941
9,3,quant_float64,1,0.0016019999966374598
9,3,quant_float64,2,0.0015740410017315298
9,3,quant_float64,3,0.0017892920004669577
9,3,quant_float64,4,0.0016312910011038184
9,3,quant_float64,5,0.0015845420057303272
9,3,quant_float64,6,0.001577041002747137
9,3,quant_float64,7,0.0015800420005689375
9,3,quant_float64,8,0.0015659579948987812
9,3,quant_float64,9,0.0015717089991085231
9,10,quant_float64,0,0.00161854199541267
9,10,quant_float64,1,0.0015800000037415884
9,10,quant_float64,2,0.0015690000000176951
9,10,quant_float64,3,0.0016179169979295693
9,10,quant_float64,4,0.0017785419986466877
9,10,quant_float64,5,0.001640875001612585
9,10,quant_float64,6,0.0016102090012282133
9,10,quant_float64,7,0.0015997500013327226
9,10,quant_float64,8,0.0016155000048456714
9,10,quant_float64,9,0.0016016250010579824
9,30,quant_float64,0,0.0016519999990123324
9,30,quant_float64,1,0.0016381669993279502
9,30,quant_float64,2,0.0016426669972133823
9,30,quant_float64,3,0.0016682499990565702
9,30,quant_float64,4,0.001660709000134375
9,30,quant_float64,5,0.001636834000237286
9,30,quant_float64,6,0.0016315829998347908
9,30,quant_float64,7,0.0016235410002991557
9,30,quant_float64,8,0.0016161249950528145
9,30,quant_float64,9,0.001599625000380911
9,100,quant_float64,0,0.0017171250001410954
9,100,quant_float64,1,0.0016796670024632476
9,100,quant_float64,2,0.0016679999971529469
9,100,quant_float64,3,0.0017842089946498163
9,100,quant_float64,4,0.0017555409940541722
9,100,quant_float64,5,0.0017144169978564605
9,100,quant_float64,6,0.0017312500058324076
9,100,quant_float64,7,0.0017142919969046488
