Dataset,Split,Number of samples,Series length,Estimator,Run,Runtime
ECG200,train,100,96,moment_quant_approx_samples,8,0.020648333000281127
ECG200,test,100,96,moment_quant_approx_samples,8,0.019032541000342462
ECG200,train,100,96,quant_float64,3,0.024211124997236766
ECG200,test,100,96,quant_float64,3,0.02273554199928185
ECG200,train,100,96,moment_quant_exact_intervals,3,0.010485958999197464
ECG200,test,100,96,moment_quant_exact_intervals,3,0.00903900000048452
ECG200,train,100,96,moment_quant_exact_intervals,7,0.010313958999176975
ECG200,test,100,96,moment_quant_exact_intervals,7,0.008980457998404745
ECG200,train,100,96,moment_quant_exact_auto,2,0.0195139579991519
ECG200,test,100,96,moment_quant_exact_auto,2,0.018280000000231666
ECG200,train,100,96,moment_quant_approx_auto,4,0.02056783299849485
ECG200,test,100,96,moment_quant_approx_auto,4,0.01901749999888125
ECG200,train,100,96,moment_quant_exact_auto,0,0.019735541001864476
ECG200,test,100,96,moment_quant_exact_auto,0,0.018405999999231426
ECG200,train,100,96,moment_quant_approx_intervals,8,0.026264957999956096
ECG200,test,100,96,moment_quant_approx_intervals,8,0.024901541997678578
ECG200,train,100,96,moment_quant_exact_auto,5,0.019111707999400096
ECG200,test,100,96,moment_quant_exact_auto,5,0.018067624998366227
ECG200,train,100,96,moment_quant_approx_intervals,3,0.02628520900179865
ECG200,test,100,96,moment_quant_approx_intervals,3,0.02494995800225297
ECG200,train,100,96,moment_quant_approx_auto,2,0.02024974999949336
ECG200,test,100,96,moment_quant_approx_auto,2,0.01897879099851707
ECG200,train,100,96,quant_float64,1,0.024363000000448665
ECG200,test,100,96,quant_float64,1,0.022787709000112955
ECG200,train,100,96,moment_quant_approx_auto,1,0.02036999999836553
ECG200,test,100,96,moment_quant_approx_auto,1,0.01894945800086134
ECG200,train,100,96,moment_quant_exact_auto,8,0.019203291998564964
ECG200,test,100,96,moment_quant_exact_auto,8,0.01787720900028944
ECG200,train,100,96,moment_quant_exact_auto,7,0.019217666998883942
ECG200,test,100,96,moment_quant_exact_auto,7,0.018513292001443915
ECG200,train,100,96,moment_quant_exact_samples,9,0.01937095799803501
ECG200,test,100,96,moment_quant_exact_samples,9,0.018053125000733417
ECG200,train,100,96,quant_float64,4,0.024139958000887418
ECG200,test,100,96,quant_float64,4,0.023212624997540843
ECG200,train,100,96,moment_quant_approx_auto,6,0.02044012500118697
ECG200,test,100,96,moment_quant_approx_auto,6,0.019003541998245055
ECG200,train,100,96,moment_quant_approx_samples,5,0.020220334001351148
ECG200,test,100,96,moment_quant_approx_samples,5,0.018947083000966813
ECG200,train,100,96,quant_float64,6,0.023995125000510598
ECG200,test,100,96,quant_float64,6,0.022762374999729218
ECG200,train,100,96,moment_quant_exact_samples,1,0.01953937500002212
ECG200,test,100,96,moment_quant_exact_samples,1,0.018232624999654945
ECG200,train,100,96,moment_quant_exact_auto,6,0.018832166999345645
ECG200,test,100,96,moment_quant_exact_auto,6,0.0175994580022234
ECG200,train,100,96,moment_quant_approx_samples,9,0.020278500000131316
ECG200,test,100,96,moment_quant_approx_samples,9,0.018984125003044028
ECG200,train,100,96,moment_quant_exact_samples,8,0.018965333001688123
ECG200,test,100,96,moment_quant_exact_samples,8,0.01784870899791713
ECG200,train,100,96,moment_quant_exact_auto,4,0.01884358300230815
ECG200,test,100,96,moment_quant_exact_auto,4,0.01755658299953211
ECG200,train,100,96,moment_quant_exact_samples,7,0.018828083000698825
ECG200,test,100,96,moment_quant_exact_samples,7,0.01756133399976534
ECG200,train,100,96,moment_quant_exact_samples,2,0.018827290998160606
ECG200,test,100,96,moment_quant_exact_samples,2,0.017653957998845726
ECG200,train,100,96,moment_quant_exact_intervals,6,0.010357625000324333
ECG200,test,100,96,moment_quant_exact_intervals,6,0.008998042001621798
ECG200,train,100,96,moment_quant_approx_intervals,6,0.026265917000273475
ECG200,test,100,96,moment_quant_approx_intervals,6,0.02488120799898752
ECG200,train,100,96,moment_quant_exact_auto,1,0.01933820799968089
ECG200,test,100,96,moment_quant_exact_auto,1,0.018017708000115817
ECG200,train,100,96,quant_float64,7,0.02411729099912918
ECG200,test,100,96,quant_float64,7,0.022750249998352956
ECG200,train,100,96,quant_float64,0,0.023659457998292055
ECG200,test,100,96,quant_float64,0,0.02274158300133422
ECG200,train,100,96,moment_quant_approx_intervals,5,0.026286167001671856
ECG200,test,100,96,moment_quant_approx_intervals,5,0.02495716700286721
ECG200,train,100,96,moment_quant_approx_intervals,9,0.026163957998505794
ECG200,test,100,96,moment_quant_approx_intervals,9,0.024888333002309082
ECG200,train,100,96,moment_quant_approx_auto,9,0.02021154100293643
ECG200,test,100,96,moment_quant_approx_auto,9,0.018981249999342253
ECG200,train,100,96,moment_quant_approx_intervals,0,0.02612095799850067
ECG200,test,100,96,moment_quant_approx_intervals,0,0.024816166998789413
ECG200,train,100,96,moment_quant_exact_auto,3,0.019235208001191495
ECG200,test,100,96,moment_quant_exact_auto,3,0.01798449999841978
ECG200,train,100,96,moment_quant_approx_auto,0,0.02030012499744771
ECG200,test,100,96,moment_quant_approx_auto,0,0.018953750000946457
ECG200,train,100,96,moment_quant_exact_intervals,2,0.010296374999597901
ECG200,test,100,96,moment_quant_exact_intervals,2,0.008982750001450768
ECG200,train,100,96,moment_quant_approx_intervals,2,0.0261640000026091
ECG200,test,100,96,moment_quant_approx_intervals,2,0.025070749998121755
ECG200,train,100,96,moment_quant_approx_intervals,7,0.0263308749999851
ECG200,test,100,96,moment_quant_approx_intervals,7,0.025056916998437373
ECG200,train,100,96,moment_quant_exact_samples,5,0.01881212499938556
ECG200,test,100,96,moment_quant_exact_samples,5,0.01745295900036581
ECG200,train,100,96,moment_quant_approx_samples,7,0.02041458299936494
ECG200,test,100,96,moment_quant_approx_samples,7,0.018972000001667766
ECG200,train,100,96,quant_float64,8,0.02469504200053052
ECG200,test,100,96,quant_float64,8,0.023187499999039574
ECG200,train,100,96,moment_quant_approx_auto,8,0.0205107500005397
ECG200,test,100,96,moment_quant_approx_auto,8,0.01905070900102146
ECG200,train,100,96,moment_quant_approx_samples,0,0.020266040999558754
ECG200,test,100,96,moment_quant_approx_samples,0,0.01892216600026586
ECG200,train,100,96,moment_quant_approx_samples,2,0.020229292000294663
ECG200,test,100,96,moment_quant_approx_samples,2,0.018955625000671716
ECG200,train,100,96,moment_quant_approx_samples,1,0.020146916998783126
ECG200,test,100,96,moment_quant_approx_samples,1,0.018936000000394415
ECG200,train,100,96,moment_quant_exact_auto,9,0.019327375001012115
ECG200,test,100,96,moment_quant_exact_auto,9,0.018182583000452723
ECG200,train,100,96,moment_quant_exact_intervals,8,0.010271458002534928
ECG200,test,100,96,moment_quant_exact_intervals,8,0.008995832999062259
ECG200,train,100,96,moment_quant_exact_samples,6,0.018614790998981334
ECG200,test,100,96,moment_quant_exact_samples,6,0.017355542000586865
ECG200,train,100,96,moment_quant_exact_intervals,5,0.010247624999465188
ECG200,test,100,96,moment_quant_exact_intervals,5,0.008967708003183361
ECG200,train,100,96,moment_quant_approx_auto,5,0.020270584001991665
ECG200,test,100,96,moment_quant_approx_auto,5,0.01891079099732451
ECG200,train,100,96,moment_quant_approx_samples,3,0.020233125000231666
ECG200,test,100,96,moment_quant_approx_samples,3,0.018941792000987334
ECG200,train,100,96,moment_quant_exact_intervals,1,0.01022666599965305
ECG200,test,100,96,moment_quant_exact_intervals,1,0.008946582998760277
ECG200,train,100,96,quant_float64,2,0.024558832999900915
ECG200,test,100,96,quant_float64,2,0.023339666000538273
ECG200,train,100,96,moment_quant_approx_samples,6,0.02043079199938802
ECG200,test,100,96,moment_quant_approx_samples,6,0.018969834000017727
ECG200,train,100,96,quant_float64,9,0.02387708400055999
ECG200,test,100,96,quant_float64,9,0.022719291999237612
ECG200,train,100,96,moment_quant_exact_intervals,4,0.010319249999156455
ECG200,test,100,96,moment_quant_exact_intervals,4,0.009012459002406104
ECG200,train,100,96,moment_quant_exact_intervals,9,0.010241959000268253
ECG200,test,100,96,moment_quant_exact_intervals,9,0.008934165998653043
ECG200,train,100,96,moment_quant_approx_intervals,1,0.026236916997731896
ECG200,test,100,96,moment_quant_approx_intervals,1,0.0248511249992589
ECG200,train,100,96,moment_quant_approx_samples,4,0.02019704200210981
ECG200,test,100,96,moment_quant_approx_samples,4,0.018976249997649575
ECG200,train,100,96,moment_quant_exact_intervals,0,0.01016295899898978
ECG200,test,100,96,moment_quant_exact_intervals,0,0.008926291000534547
ECG200,train,100,96,moment_quant_exact_samples,4,0.01966174999688519
ECG200,test,100,96,moment_quant_exact_samples,4,0.018290500000148313
ECG200,train,100,96,quant_float64,5,0.023951041999680456
ECG200,test,100,96,quant_float64,5,0.02274333399691386
ECG200,train,100,96,moment_quant_approx_auto,3,0.020358542002213653
ECG200,test,100,96,moment_quant_approx_auto,3,0.018924165997304954
ECG200,train,100,96,moment_quant_approx_intervals,4,0.026204458001302555
ECG200,test,100,96,moment_quant_approx_intervals,4,0.02488029199957964
ECG200,train,100,96,moment_quant_approx_auto,7,0.020223125000484288
ECG200,test,100,96,moment_quant_approx_auto,7,0.01902699999845936
ECG200,train,100,96,moment_quant_exact_samples,0,0.01952841599995736
ECG200,test,100,96,moment_quant_exact_samples,0,0.01805008299925248
ECG200,train,100,96,moment_quant_exact_samples,3,0.01977683400036767
ECG200,test,100,96,moment_quant_exact_samples,3,0.018100791003234917
